pos;name;pais;num;edad
Portero;Dimitar Mitov;Bulgaria;1;22/01/1997
Portero;Per Kristian Bråtveit;Noruega;99;15/02/1996
Portero;Nick Suman ;Australia;13;28/02/2000
Defensa central;Jack Milne;Escocia;22;10/02/2003
Defensa central;Liam Morrison;Escocia;23;07/04/2003
Defensa central;Kristers Tobers ;Letonia;24;13/12/2000
Defensa central;Mats Knoester ;Países Bajos;5;19/11/1998
Defensa central;Gavin Molloy;Irlanda;21;19/10/2001
Defensa central;Tom McIntyre;Escocia;26;06/11/1998
Lateral izquierdo;Emmanuel Gyamfi;Alemania;77;23/07/2004
Lateral izquierdo;Mitchel Frame;Escocia;3;25/01/2006
Lateral derecho;Alexander Jensen;Dinamarca;28;24/08/2001
Lateral derecho;Nicky Devlin;Escocia;2;17/10/1993
Lateral derecho;Dylan Lobban;Escocia;38;26/08/2005
Pivote;Afeez Aremu;Nigeria;32;03/10/1999
Pivote;Ante Palaversa;Croacia;18;06/04/2000
Pivote;Graeme Shinnie ;Escocia;4;04/08/1991
Pivote;Sivert Heltne Nilsen;Noruega;6;02/10/1991
Pivote;Kjartan Már Kjartansson;Islandia;29;14/07/2006
Mediocentro;Dennis Geiger;Alemania;8;10/06/1998
Mediocentro;Lyall Cameron;Escocia;25;10/10/2002
Mediocentro;Stuart Armstrong;Escocia;16;30/03/1992
Extremo izquierdo;Topi Keskinen;Finlandia;81;07/03/2003
Extremo izquierdo;Kenan Bilalovic;Suecia;14;22/06/2005
Extremo derecho;Nicolas Milanovic;Australia;11;14/11/2001
Delantero centro;Kevin Nisbet;Escocia;15;08/03/1997
Delantero centro;Marko Lazetić;Serbia;27;22/01/2004
Delantero centro;Toyosi Olusanya;Inglaterra;20;14/10/1997
