pos;name;pais;num;edad
Portero;Viljami Sinisalo;Finlandia;12;11/10/2001
Portero;Kasper Schmeichel;Dinamarca;1;05/11/1986
Portero;Ross Doohan;Escocia;31;29/03/1998
Defensa central;Cameron Carter-Vickers ;Estados Unidos;20;31/12/1997
Defensa central;Auston Trusty;Estados Unidos;6;12/08/1998
Defensa central;Liam Scales;Irlanda;5;08/08/1998
Defensa central;Dane Murray;Escocia;47;26/06/2003
Defensa central;Benjamin Arthur;Inglaterra;43;09/10/2005
Lateral izquierdo;Kieran Tierney;Escocia;63;05/06/1997
Lateral izquierdo;Marcelo Saracchi;Uruguay;36;23/04/1998
Lateral izquierdo;Adam Montgomery ;Escocia;37;18/07/2002
Lateral derecho;Julián Araujo;México;22;13/08/2001
Lateral derecho;Alistair Johnston ;Canadá;2;08/10/1998
Lateral derecho;Anthony Ralston;Escocia;56;16/11/1998
Lateral derecho;Colby Donovan;Escocia;51;07/09/2006
Pivote;Callum McGregor ;Escocia;42;14/06/1993
Mediocentro;Arne Engels ;Bélgica;27;08/09/2003
Mediocentro;Reo Hatate;Japón;41;21/11/1997
Mediocentro;Paulo Bernardo;Portugal;28;24/01/2002
Mediocentro;Luke McCowan;Escocia;14;09/12/1997
Mediocentro;Alex Oxlade-Chamberlain;Inglaterra;21;15/08/1993
Mediocentro;Odin Holm;Noruega;15;18/01/2003
Interior derecho;Joel Mvuka;Noruega;32;12/11/2002
Extremo izquierdo;Daizen Maeda;Japón;38;20/10/1997
Extremo izquierdo;Sebastian Tounekti;Túnez;23;13/07/2002
Extremo izquierdo;Jota ;Portugal;7;30/03/1999
Extremo izquierdo;Michel-Ange Balikwisha;RD del Congo;10;10/05/2001
Extremo derecho;Benjamin Nygren;Suecia;8;08/07/2001
Extremo derecho;Hyun-jun Yang;Corea del Sur;13;25/05/2002
Extremo derecho;James Forrest;Escocia;49;07/07/1991
Delantero centro;Junior Adamu;Austria;9;06/06/2001
Delantero centro;Kelechi Iheanacho;Nigeria;17;03/10/1996
Delantero centro;Tomas Cvancara;República Checa;11;13/08/2000
Delantero centro;Callum Osmand ;Inglaterra;19;08/11/2005
