pos;name;pais;num;edad
Portero;Jon McCracken;Escocia;1;24/05/2000
Portero;Kieran O'Hara;Irlanda;13;22/04/1996
Defensa central;Luke Graham;Escocia;22;11/02/2004
Defensa central;Ryan Astley;Gales;4;04/10/2001
Defensa central;Billy Koumetio;Francia;5;14/11/2002
Defensa central;Aaron Donnelly;Irlanda del Norte;6;08/06/2003
Defensa central;Lewis Montsma;Países Bajos;14;25/04/1998
Defensa central;Clark Robertson;Escocia;3;05/09/1993
Lateral izquierdo;Imari Samuels;Inglaterra;12;05/02/2003
Lateral derecho;Brad Halliday;Inglaterra;16;10/07/1995
Pivote;Paul Digby;Inglaterra;8;02/02/1995
Pivote;Joel Cotterill;Gales;24;10/10/2004
Mediocentro;Ethan Hamilton;Escocia;48;18/10/1998
Mediocentro;Finlay Robertson;Escocia;10;12/11/2002
Mediocentro;Callum Jones;Gales;28;05/04/2001
Interior derecho;Drey Wright;Inglaterra;7;30/04/1995
Interior izquierdo;Cameron Congreve;Gales;20;24/01/2004
Interior izquierdo;Charlie Reilly;Escocia;18;05/12/2001
Mediocentro ofensivo;Yan Dhanda;Inglaterra;21;14/12/1998
Extremo izquierdo;Tony Yogane;Inglaterra;17;24/09/2005
Extremo derecho;Scott Wright;Escocia;25;08/08/1997
Delantero centro;Joe Westley;Inglaterra;19;18/10/2004
Delantero centro;Ashley Hay;Inglaterra;11;10/07/2003
Delantero centro;Simon Murray;Escocia;15;15/03/1992
Delantero centro;Joe Bevan;Escocia;27;15/07/2004
Delantero centro;Francisco Valenzuela;México;38;13/04/2007
