pos;name;pais;num;edad
Portero;Ashley Maynard-Brewer;Australia;1;25/06/1999
Portero;Dave Richards;Gales;25;31/12/1993
Defensa central;Ross Graham ;Escocia;6;20/02/2001
Defensa central;Bert Esselink;Países Bajos;3;16/08/1999
Defensa central;Krisztián Keresztes;Hungría;23;04/01/2000
Defensa central;Iurie Iovu;Moldavia;4;06/07/2002
Lateral derecho;Ryan Strain;Australia;2;02/04/1997
Lateral derecho;Dario Naamo;Finlandia;22;14/05/2005
Pivote;Luca Stephenson;Inglaterra;21;17/09/2003
Pivote;Vicko Sevelj;Croacia;5;19/09/2000
Pivote;Craig Sibbald;Escocia;14;18/05/1995
Mediocentro;Julius Eskesen;Dinamarca;10;16/03/1999
Mediocentro;Panutche Camara;Guinea-Bissau;8;28/02/1997
Mediocentro;Emmanuel Agyei;Ghana;12;03/11/2004
Mediocentro;Isaac Pappoe;Ghana;70;20/12/2003
Mediocentro;Lewis O'Donnell;Escocia;30;21/06/2005
Interior izquierdo;Will Ferry;Irlanda;11;07/12/2000
Interior izquierdo;Neil Farrugia;Irlanda;20;19/05/1999
Extremo izquierdo;Ivan Dolcek;Croacia;19;24/04/2000
Extremo izquierdo;Kristijan Trapanovski;Macedonia del Norte;7;14/08/1999
Extremo izquierdo;Amar Fatah;Suecia;17;19/02/2004
Extremo derecho;Johnny Russell;Escocia;77;08/04/1990
Delantero centro;Zachary Sapsford;Australia;9;16/08/2002
Delantero centro;Max Watters;Inglaterra;36;23/03/1999
