pos;name;pais;num;edad
Portero;Nicky Hogarth;Escocia;1;04/07/2001
Portero;Jamie Sneddon;Escocia;12;06/09/1997
Portero;Scott Bain;Escocia;19;22/11/1991
Defensa central;Lewis Neilson;Escocia;15;15/05/2003
Defensa central;Connor Allan;Escocia;20;10/01/2004
Defensa central;Filip Lissah;Inglaterra;28;08/12/2004
Defensa central;Liam Henderson;Escocia;5;23/08/1996
Defensa central;Coll Donaldson ;Escocia;6;09/04/1995
Lateral izquierdo;Leon McCann;Escocia;3;16/03/2000
Lateral izquierdo;Sam Hart;Inglaterra;42;10/09/1996
Lateral derecho;Keelan Adams;Escocia;2;13/11/2001
Pivote;Brad Spencer;Escocia;8;16/05/1996
Mediocentro;Dylan Tait;Escocia;21;01/12/2001
Mediocentro;Henry Cartwright;Inglaterra;17;11/12/2004
Interior izquierdo;Calvin Miller;Escocia;29;09/01/1998
Interior izquierdo;Ethan Ross;Escocia;23;15/08/2001
Mediocentro ofensivo;Finn Yeats;Escocia;14;19/04/2004
Mediocentro ofensivo;Gary Oliver;Escocia;18;14/07/1995
Extremo izquierdo;Ethan Williams;Inglaterra;24;14/11/2005
Extremo izquierdo;Ben Broggio;Inglaterra;11;29/01/2007
Extremo derecho;Kyrell Wilson;Inglaterra;22;01/12/2004
Mediapunta;Louie Marsh;Inglaterra;30;02/07/2004
Delantero centro;Barney Stewart;Escocia;16;07/04/2004
Delantero centro;Ross MacIver;Escocia;9;28/02/1999
Delantero centro;Ben Parkinson;Inglaterra;27;10/03/2005
Delantero centro;Brian Graham;Escocia;7;23/11/1987
