pos;name;pais;num;edad
Portero;Jack Butland;Inglaterra;1;10/03/1993
Portero;Liam Kelly;Escocia;31;23/01/1996
Portero;Kieran Wright;Escocia;32;01/04/1999
Defensa central;Emmanuel Fernandez;Inglaterra;37;20/11/2001
Defensa central;Nasser Djiga;Burkina Faso;24;15/11/2002
Defensa central;John Souttar;Escocia;5;25/09/1996
Defensa central;Derek Cornelius ;Canadá;13;25/11/1997
Lateral izquierdo;Tuur Rommens;Bélgica;25;26/03/2003
Lateral izquierdo;Jayden Meghoma;Inglaterra;30;28/06/2006
Lateral derecho;Max Aarons;Inglaterra;3;04/01/2000
Lateral derecho;Dujon Sterling;Inglaterra;21;24/10/1999
Lateral derecho;James Tavernier ;Inglaterra;2;31/10/1991
Pivote;Nicolas Raskin;Bélgica;43;23/02/2001
Pivote;Tochi Chukwuani;Dinamarca;42;24/03/2003
Pivote;Connor Barron ;Escocia;8;29/08/2002
Pivote;Bailey Rice  ;Escocia;49;04/10/2006
Mediocentro;Mohamed Diomandé;Costa de Marfil;10;30/10/2001
Mediocentro ofensivo;Thelo Aasgaard;Noruega;11;02/05/2002
Mediocentro ofensivo;Nedim Bajrami;Albania;14;28/02/1999
Extremo izquierdo;Mikey Moore;Inglaterra;47;11/08/2007
Extremo izquierdo;Djeidi Gassama;Francia;23;10/09/2003
Extremo izquierdo;Rabbi Matondo;Gales;17;09/09/2000
Extremo derecho;Andreas Skov Olsen;Dinamarca;7;29/12/1999
Extremo derecho;Oliver Antman;Finlandia;18;15/08/2001
Delantero centro;Youssef Chermiti;Portugal;9;24/05/2004
Delantero centro;Ryan Naderi;Alemania;20;10/07/2003
Delantero centro;Bojan Miovski;Macedonia del Norte;28;24/06/1999
