pos;name;pais;num;edad
Portero;Alexander Schwolow;Alemania;25;02/06/1992
Portero;Craig Gordon;Escocia;1;31/12/1982
Portero;Ryan Fulton;Escocia;30;23/05/1996
Defensa central;Michael Steinwender;Austria;15;04/05/2000
Defensa central;Stuart Findlay ;Escocia;19;14/09/1995
Defensa central;Craig Halkett;Escocia;4;29/05/1995
Defensa central;Frankie Kent;Inglaterra;2;21/11/1995
Defensa central;Jamie McCart;Escocia;5;20/06/1997
Lateral izquierdo;Harry Milne;Escocia;18;29/10/1996
Lateral izquierdo;Stephen Kingsley ;Escocia;3;23/07/1994
Lateral derecho;Christian Borchgrevink ;Noruega;12;11/05/1999
Lateral derecho;Jordi Altena;Países Bajos;23;04/12/2003
Lateral derecho;Oisin McEntee;Irlanda;31;05/01/2001
Pivote;Beni Baningime;RD del Congo;6;09/09/1998
Pivote;Calem Nieuwenhof ;Australia;8;17/02/2001
Mediocentro;Ageu ;Brasil;40;20/02/2002
Mediocentro;Cammy Devlin ;Australia;14;07/06/1998
Mediocentro;Marc Leonard;Escocia;49;19/12/2001
Mediocentro;Blair Spittal;Escocia;16;19/12/1995
Mediocentro;Tómas Bent Magnússon;Islandia;22;14/08/2002
Mediocentro ofensivo;Finlay Pollock ;Escocia;24;27/06/2004
Extremo izquierdo;Alexandros Kyziridis;Grecia;89;16/09/2000
Extremo izquierdo;Rogers Mato;Uganda;74;10/10/2003
Extremo izquierdo;Pierre Landry Kabore;Burkina Faso;11;05/07/2001
Extremo izquierdo;Alan Forrest;Escocia;17;09/09/1996
Extremo derecho;Islam Chesnokov;Kazajistán;99;21/11/1999
Extremo derecho;Sabah Kerjota;Albania;29;14/08/2001
Delantero centro;Cláudio Braga;Portugal;10;28/10/1999
Delantero centro;Lawrence Shankland  ;Escocia;9;10/08/1995
Delantero centro;Elton Kabangu;Bélgica;7;08/02/1998
