pos;name;pais;num;edad
Portero;Raphael Sallinger;Austria;1;08/12/1995
Portero;Jordan Smith;Inglaterra;13;08/12/1994
Defensa central;Munashe Garananga;Zimbabue;42;18/01/2001
Defensa central;Rocky Bushiri;RD del Congo;33;30/11/1999
Defensa central;Warren O'Hora;Irlanda;5;19/04/1999
Defensa central;Grant Hanley;Escocia;4;20/11/1991
Defensa central;Jack Iredale;Australia;15;02/05/1996
Lateral izquierdo;Jordan Obita;Uganda;21;08/12/1993
Lateral derecho;Felix Passlack;Alemania;25;29/05/1998
Lateral derecho;Chris Cadden;Escocia;12;19/09/1996
Lateral derecho;Kanayo Megwa;Inglaterra;27;05/03/2004
Pivote;Dan Barlaser;Inglaterra;22;18/01/1997
Pivote;Miguel Chaiwa;Zambia;14;07/06/2004
Mediocentro;Josh Mulligan;Escocia;20;12/11/2002
Mediocentro;Alasana Manneh;Gambia;8;08/04/1998
Mediocentro;Kai Andrews;Gales;28;06/08/2006
Mediocentro;Joe Newell ;Inglaterra;11;15/03/1993
Interior izquierdo;Nicky Cadden;Escocia;19;19/09/1996
Mediocentro ofensivo;Jamie McGrath;Irlanda;17;30/09/1996
Mediocentro ofensivo;Josh Campbell;Escocia;32;06/05/2000
Mediocentro ofensivo;Rudi Molotnikov;Escocia;35;23/05/2006
Delantero centro;Dane Scarlett;Inglaterra;44;24/03/2004
Delantero centro;Élie Youan;Francia;7;07/04/1999
Delantero centro;Ante Suto;Croacia;77;19/06/2000
Delantero centro;Martin Boyle;Australia;10;25/04/1993
Delantero centro;Owen Elding;Irlanda;47;07/03/2006
