pos;name;pais;num;edad
Portero;Maksymilian Stryjek;Polonia;1;18/07/1996
Portero;Kelle Roos;Países Bajos;13;31/05/1992
Defensa central;Lewis Mayo;Escocia;5;19/03/2000
Defensa central;Robbie Deas;Escocia;6;27/02/2000
Defensa central;Zac Williams;Gales;4;27/03/2004
Defensa central;George Stanger;Nueva Zelanda;14;15/08/2000
Defensa central;Ethan Schilte-Brown;Canadá;25;01/06/2005
Lateral izquierdo;Dominic Thompson;Inglaterra;3;26/07/2000
Lateral izquierdo;Michael Schjönning-Larsen;Estonia;21;02/02/2001
Lateral derecho;Jamie Brandon;Escocia;2;05/02/1998
Mediocentro;David Watson;Escocia;12;12/02/2005
Mediocentro;Brad Lyons ;Irlanda del Norte;8;26/05/1997
Mediocentro;Kyle Magennis;Escocia;16;26/08/1998
Mediocentro;Jack Thomson;Escocia;22;20/01/2000
Mediocentro;Aaron Tshibola;RD del Congo;36;02/01/1995
Mediocentro;Tom Lowery;Inglaterra;18;31/12/1997
Mediocentro;Liam Polworth;Escocia;31;12/10/1994
Extremo izquierdo;Findlay Curtis;Escocia;52;01/10/2006
Extremo izquierdo;Greg Kiltie;Escocia;11;18/01/1997
Extremo izquierdo;Scott Tiffoney;Escocia;17;26/08/1998
Extremo izquierdo;Nicky Clescenco;Moldavia;20;23/07/2001
Extremo izquierdo;Matty Kennedy ;Irlanda del Norte;10;01/11/1994
Extremo derecho;Rory McKenzie;Escocia;7;07/10/1993
Delantero centro;Tyreece John-Jules;Inglaterra;24;14/02/2001
Delantero centro;Bruce Anderson;Escocia;19;23/09/1998
Delantero centro;Joe Hugill;Inglaterra;44;19/10/2003
Delantero centro;Djenairo Daniels ;Surinam;29;07/01/2002
Delantero centro;Marcus Dackers;Gales;9;09/01/2003
Delantero centro;Marley Watkins;Gales;23;17/10/1990
