pos;name;pais;num;edad
Portero;Jérôme Prior;Francia;28;08/08/1995
Portero;Jack Hamilton;Escocia;13;22/03/1994
Portero;Jamie Smith;Escocia;32;08/05/2002
Defensa central;Danny Wilson;Escocia;27;27/12/1991
Defensa central;Ryan McGowan;Australia;5;15/08/1989
Defensa central;Brooklyn Kabongolo;Francia;23;16/10/2002
Lateral izquierdo;Babacar Fati;Guinea-Bissau;3;01/02/2000
Lateral derecho;Danny Finlayson;Irlanda del Norte;19;19/01/2001
Lateral derecho;Cammy Kerr;Escocia;2;10/09/1995
Pivote;Mohamad Sylla;Francia;24;01/12/1993
Mediocentro;Emmanuel Danso;Ghana;20;10/11/2000
Mediocentro;Macaulay Tait;Escocia;25;27/08/2005
Mediocentro;Aidan Denholm;Escocia;6;09/11/2003
Mediocentro;Scott Arfield;Canadá;37;01/11/1988
Interior derecho;Lewis Smith;Escocia;15;16/03/2000
Interior izquierdo;Cristian Montano;Colombia;26;11/12/1991
Mediocentro ofensivo;Samson Lawal;Nigeria;40;25/04/2004
Mediocentro ofensivo;Scott Pittman;Escocia;8;09/07/1992
Mediocentro ofensivo;Andrew Shinnie;Escocia;22;17/07/1989
Extremo izquierdo;Jannik Wanner;Alemania;31;20/12/1999
Extremo izquierdo;Barrie McKay;Escocia;10;30/12/1994
Extremo derecho;Joshua Zimmerman;Curazao;29;23/05/2001
Extremo derecho;Connor McLennan;Escocia;11;05/10/1999
Delantero centro;Alex Tamm;Estonia;21;24/07/2001
Delantero centro;Joel Nouble;Inglaterra;7;19/01/1996
Delantero centro;Robbie Muirhead;Escocia;9;08/03/1996
Delantero centro;Stevie May;Escocia;17;03/11/1992
Delantero centro;Jeremy Bokila;RD del Congo;18;14/11/1988
