pos;name;pais;num;edad
Portero;Calum Ward;Inglaterra;61;17/10/2000
Portero;Matty Connelly;Escocia;31;02/03/2003
Defensa central;Stephen Welsh;Escocia;57;19/01/2000
Defensa central;Liam Gordon;Escocia;4;26/01/1996
Defensa central;Jordan McGhee;Escocia;6;24/07/1996
Lateral izquierdo;Emmanuel Longelo;Inglaterra;45;27/12/2000
Lateral derecho;John Koutroumbis;Australia;22;06/03/1998
Lateral derecho;Paul McGinn ;Escocia;16;22/10/1990
Lateral derecho;Stephen O'Donnell;Escocia;2;11/05/1992
Pivote;Elliot Watt;Escocia;20;11/03/2000
Pivote;Andy Halliday;Escocia;11;11/10/1991
Mediocentro;Callum Slattery;Inglaterra;8;08/02/1999
Mediocentro;Lukas Fadinger;Austria;12;27/09/2000
Mediocentro;Oscar Priestman;Australia;18;25/03/2003
Mediocentro;Tom Sparrow;Gales;7;06/12/2002
Interior izquierdo;Sam Nicholson;Escocia;19;20/01/1995
Extremo izquierdo;Regan Charles-Cook;Granada;77;14/02/1997
Extremo derecho;Elijah Just;Nueva Zelanda;21;01/05/2000
Extremo derecho;Ibrahim Said;Nigeria;90;15/06/2002
Delantero centro;Tawanda Maswanhise;Zimbabue;55;20/11/2002
Delantero centro;Eythor Bjørgolfsson;Noruega;15;25/08/2000
Delantero centro;Zach Robinson;Inglaterra;9;11/06/2002
Delantero centro;Callum Hendry;Escocia;66;08/12/1997
Delantero centro;Luca Ross;Escocia;28;11/08/2006
