pos;name;pais;num;edad
Portero;Shamal George;Inglaterra;1;06/01/1998
Portero;Peter Urminsky;Eslovaquia;12;24/05/1999
Portero;Ryan Mullen;Escocia;31;18/05/2001
Defensa central;Richard King;Jamaica;5;27/11/2001
Defensa central;Alex Gogic;Chipre;13;13/04/1994
Defensa central;Miguel Freckleton;Inglaterra;21;06/08/2003
Lateral izquierdo;Scott Tanser;Inglaterra;3;23/10/1994
Lateral izquierdo;Declan John;Gales;24;30/06/1995
Lateral derecho;Jayden Richardson;Inglaterra;2;04/09/2000
Lateral derecho;Marcus Fraser;Escocia;22;23/06/1994
Pivote;Keanu Baccus;Australia;25;07/06/1998
Pivote;Mark O'Hara ;Escocia;6;12/12/1995
Pivote;Liam Donnelly;Irlanda del Norte;44;07/03/1996
Pivote;Jacob Devaney;Irlanda;8;11/06/2007
Mediocentro;Killian Phillips;Irlanda;88;30/03/2002
Mediocentro;Allan Campbell;Escocia;16;04/07/1998
Mediocentro;Roland Idowu;Irlanda;7;21/01/2002
Extremo izquierdo;Conor McMenamin;Irlanda del Norte;10;24/08/1995
Extremo izquierdo;Jalmaro Calvin;Antigua y Barbuda;17;30/06/2003
Extremo izquierdo;Malik Dijksteel;Países Bajos;18;08/07/2001
Delantero centro;Kion Etete;Inglaterra;29;28/11/2001
Delantero centro;Jonah Ayunga;Kenia;11;24/05/1997
Delantero centro;Dan Nlundulu;Inglaterra;14;05/02/1999
Delantero centro;Jake Young;Inglaterra;20;22/07/2001
Delantero centro;Mikael Mandron;Francia;9;11/10/1994
