pos;name;pais1;pais2;num;edad;team_name
Portero;Uğurcan Çakır;Turquía;;1;05/04/1996;galatasaray_istanbul
Portero;Günay Güvenç;Turquía;Alemania;19;25/06/1991;galatasaray_istanbul
Portero;Batuhan Şen;Turquía;;12;03/02/1999;galatasaray_istanbul
Portero;Enes Emre Büyük;Turquía;;70;08/05/2006;galatasaray_istanbul
Defensa central;Wilfried Singo;Costa de Marfil;;90;25/12/2000;galatasaray_istanbul
Defensa central;Davinson Sánchez;Colombia;;6;12/06/1996;galatasaray_istanbul
Defensa central;Abdülkerim Bardakcı;Turquía;;42;07/09/1994;galatasaray_istanbul
Defensa central;Arda Ünyay;Turquía;;91;18/01/2007;galatasaray_istanbul
Defensa central;Metehan Baltacı;Turquía;;3;03/11/2002;galatasaray_istanbul
Lateral izquierdo;Ismail Jakobs;Senegal;Alemania;4;17/08/1999;galatasaray_istanbul
Lateral izquierdo;Eren Elmalı;Turquía;;17;07/07/2000;galatasaray_istanbul
Lateral derecho;Sacha Boey;Francia;;93;13/09/2000;galatasaray_istanbul
Lateral derecho;Roland Sallai;Hungría;;7;22/05/1997;galatasaray_istanbul
Pivote;Lucas Torreira;Uruguay;España;34;11/02/1996;galatasaray_istanbul
Pivote;Mario Lemina;Gabón;Francia;99;01/09/1993;galatasaray_istanbul
Pivote;Kaan Ayhan;Turquía;Alemania;23;10/11/1994;galatasaray_istanbul
Mediocentro;Gabriel Sara;Brasil;;8;26/06/1999;galatasaray_istanbul
Mediocentro;Renato Nhaga;Guinea-Bissau;Portugal;74;27/03/2007;galatasaray_istanbul
Mediocentro;İlkay Gündoğan;Alemania;;20;24/10/1990;galatasaray_istanbul
Mediocentro;Gökdeniz Gürpüz;Turquía;Alemania;33;25/02/2006;galatasaray_istanbul
Extremo izquierdo;Barış Alper Yılmaz;Turquía;;53;23/05/2000;galatasaray_istanbul
Extremo izquierdo;Noa Lang;Países Bajos;Surinam;77;17/06/1999;galatasaray_istanbul
Extremo izquierdo;Ahmed Kutucu;Turquía;Alemania;21;01/03/2000;galatasaray_istanbul
Extremo derecho;Leroy Sané;Alemania;Francia;10;11/01/1996;galatasaray_istanbul
Extremo derecho;Yunus Akgün;Turquía;;11;07/07/2000;galatasaray_istanbul
Extremo derecho;Yáser Asprilla;Colombia;;22;19/11/2003;galatasaray_istanbul
Extremo derecho;Armando Güner;Argentina;Alemania;27;07/01/2008;galatasaray_istanbul
Delantero centro;Victor Osimhen;Nigeria;;45;29/12/1998;galatasaray_istanbul
Delantero centro;Mauro Icardi;Argentina;Italia;9;19/02/1993;galatasaray_istanbul
Portero;Ederson;Brasil;Portugal;31;17/08/1993;fenerbahce_istanbul
Portero;Tarık Çetin;Turquía;;13;08/01/1997;fenerbahce_istanbul
Portero;Mert Günok;Turquía;;34;01/03/1989;fenerbahce_istanbul
Portero;Engin Can Biterge;Turquía;Bulgaria;39;22/01/2007;fenerbahce_istanbul
Defensa central;Jayden Oosterwolde;Países Bajos;Surinam;24;26/04/2001;fenerbahce_istanbul
Defensa central;Milan Škriniar;Eslovaquia;;37;11/02/1995;fenerbahce_istanbul
Defensa central;Yiğit Efe Demir;Turquía;;14;02/08/2004;fenerbahce_istanbul
Defensa central;Çağlar Söyüncü;Turquía;;4;23/05/1996;fenerbahce_istanbul
Lateral izquierdo;Archie Brown;Inglaterra;Jamaica;3;28/05/2002;fenerbahce_istanbul
Lateral izquierdo;Levent Mercan;Turquía;Alemania;22;10/12/2000;fenerbahce_istanbul
Lateral derecho;Mert Müldür;Turquía;Austria;18;03/04/1999;fenerbahce_istanbul
Lateral derecho;Nélson Semedo;Portugal;Cabo Verde;27;16/11/1993;fenerbahce_istanbul
Pivote;Edson Álvarez;México;;11;24/10/1997;fenerbahce_istanbul
Pivote;İsmail Yüksek;Turquía;;5;26/01/1999;fenerbahce_istanbul
Pivote;N'Golo Kanté;Francia;Malí;17;29/03/1991;fenerbahce_istanbul
Mediocentro;Mattéo Guendouzi;Francia;Marruecos;6;14/04/1999;fenerbahce_istanbul
Mediocentro;Fred;Brasil;;7;05/03/1993;fenerbahce_istanbul
Mediocentro;Abdou Aziz Fall;Senegal;;60;20/02/2007;fenerbahce_istanbul
Mediocentro ofensivo;Marco Asensio;España;Países Bajos;21;21/01/1996;fenerbahce_istanbul
Mediocentro ofensivo;Mert Hakan Yandaş;Turquía;;8;19/08/1994;fenerbahce_istanbul
Extremo izquierdo;Kerem Aktürkoğlu;Turquía;;9;21/10/1998;fenerbahce_istanbul
Extremo izquierdo;Oğuz Aydın;Turquía;;70;27/10/2000;fenerbahce_istanbul
Extremo derecho;Dorgeles Nene;Malí;;45;23/12/2002;fenerbahce_istanbul
Extremo derecho;Anthony Musaba;Países Bajos;RD del Congo;20;06/12/2000;fenerbahce_istanbul
Extremo derecho;Emre Mor;Turquía;Dinamarca;-;24/07/1997;fenerbahce_istanbul
Delantero centro;Sidiki Chérif;Guinea;;26;15/12/2006;fenerbahce_istanbul
Delantero centro;Talisca;Brasil;;94;01/02/1994;fenerbahce_istanbul
Portero;Ersin Destanoğlu;Turquía;;30;01/01/2001;besiktas_istanbul
Portero;Devis Vásquez;Colombia;;32;12/05/1998;besiktas_istanbul
Portero;Emre Bilgin;Turquía;;99;26/02/2004;besiktas_istanbul
Portero;Emir Yaşar;Turquía;;96;16/01/2006;besiktas_istanbul
Defensa central;Emmanuel Agbadou;Costa de Marfil;;12;17/06/1997;besiktas_istanbul
Defensa central;Tiago Djaló;Portugal;Guinea-Bissau;35;09/04/2000;besiktas_istanbul
Defensa central;Emirhan Topçu;Turquía;;53;11/10/2000;besiktas_istanbul
Defensa central;Yasin Özcan;Turquía;;58;20/04/2006;besiktas_istanbul
Defensa central;Felix Uduokhai;Alemania;Nigeria;14;09/09/1997;besiktas_istanbul
Lateral izquierdo;Rıdvan Yılmaz;Turquía;;33;21/05/2001;besiktas_istanbul
Lateral derecho;Amir Murillo;Panamá;;62;11/02/1996;besiktas_istanbul
Lateral derecho;Taylan Bulut;Alemania;Turquía;22;19/01/2006;besiktas_istanbul
Lateral derecho;Gökhan Sazdağı;Turquía;;25;20/09/1994;besiktas_istanbul
Pivote;Kristjan Asllani;Albania;Italia;23;09/03/2002;besiktas_istanbul
Pivote;Wilfred Ndidi;Nigeria;Inglaterra;4;16/12/1996;besiktas_istanbul
Pivote;Kartal Yılmaz;Turquía;;17;04/11/2000;besiktas_istanbul
Pivote;Necip Uysal;Turquía;;20;24/01/1991;besiktas_istanbul
Mediocentro;Orkun Kökçü;Turquía;Países Bajos;10;29/12/2000;besiktas_istanbul
Mediocentro;Salih Uçan;Turquía;;8;06/01/1994;besiktas_istanbul
Mediocentro ofensivo;Junior Olaitan;Benín;Nigeria;15;09/05/2002;besiktas_istanbul
