pos;name;pais;num;edad
Portero;Murat Eser;Turquía;25;04/06/2005
Portero;Eren Fidan;Turquía;99;30/09/2009
Defensa central;Yusuf Demirkıran;Turquía;23;22/03/2006
Defensa central;Hasan Alp Kaya;Turquía;3;18/08/2008
Defensa central;Ali Arda Yıldız;Turquía;61;16/04/2007
Defensa central;Aslan Atay;Turquía;4;11/02/2005
Defensa central;Ali Fidan;Turquía;43;04/08/2006
Lateral izquierdo;Yücel Gürol;Turquía;30;30/05/2005
Lateral derecho;Enes Demirtaş;Turquía;2;14/06/2006
Lateral derecho;Aykut Sarıkaya;Turquía;24;14/08/2009
Lateral derecho;Doğuhan Asım Dübüş;Turquía;26;09/06/2008
Pivote;Mert Menemencioğlu;Turquía;17;07/02/2007
Pivote;Halil Eray Aktaş;Turquía;66;17/03/2007
Mediocentro;Kayra Saygan;Turquía;88;13/08/2009
Mediocentro;Demir Yavuz;Turquía;14;12/09/2006
Mediocentro ofensivo;Ahmet Yılmaz;Turquía;80;05/05/2006
Mediocentro ofensivo;Ulaş İmergi;Turquía;87;16/07/2007
Extremo izquierdo;Gökdeniz Tunç;Turquía;22;07/08/2006
Extremo derecho;Osman Kaynak;Turquía;77;15/05/2006
Extremo derecho;Kürşat Türkeş Küçük ;Turquía;16;16/02/2005
Extremo derecho;Sefa Gülay;Turquía;7;18/01/2006
Extremo derecho;Diyar Zengin;Turquía;15;31/01/2007
Delantero centro;Ahmet Bolat;Turquía;18;17/05/2008
Delantero centro;Ahmet Arda Birinci;Turquía;20;14/11/2005
