pos;name;pais;num;edad
Portero;Diogo Sousa;Portugal;1;16/09/1998
Portero;Bahri Can Tosun;Turquía;32;13/10/2002
Portero;Rüzgar Adıyaman;Turquía;54;23/11/2006
Portero;Baran Demir;Turquía;55;02/12/2005
Defensa central;Arlind Ajeti;Albania;15;25/09/1993
Defensa central;Ali Aytemur;Turquía;34;03/04/1996
Defensa central;Furkan Apaydın;Turquía;35;11/07/2002
Defensa central;İsmail Tarım;Turquía;68;28/01/2004
Lateral izquierdo;Cenk Şen;Turquía;77;02/10/2000
Lateral derecho;Omar Imeri;Albania;11;13/12/1999
Lateral derecho;Mert Yılmaz;Turquía;27;08/03/1999
Lateral derecho;Berşan Yavuzay;Turquía;17;01/03/2002
Pivote;Ahmet Aslan;Turquía;21;29/06/2001
Pivote;Yusuf Sertkaya;Turquía;20;20/08/2005
Pivote;Gabriel Obekpa;Nigeria;18;24/05/2004
Mediocentro;Enes Öğrüce;Turquía;91;03/05/2007
Mediocentro;Mustafa Erdilman;Turquía;8;01/01/2004
Mediocentro;Yunus Tarhan;Turquía;30;23/03/2002
Extremo izquierdo;Ege Bilsel;Turquía;70;04/01/2004
Extremo izquierdo;Haqi Osman;Ghana;9;11/04/2002
Extremo izquierdo;Alper Potuk;Turquía;26;08/04/1991
Extremo derecho;Pedro Brazão;Portugal;10;30/12/2002
Extremo derecho;Gökdeniz Bayrakdar;Turquía;41;23/11/2001
Extremo derecho;Dino Hotic;Bosnia y Herzegovina;23;26/07/1995
Extremo derecho;Emirhan Arkutcu;Turquía;37;14/01/2006
Extremo derecho;Adem Metin Türk;Turquía;25;15/01/2004
Extremo derecho;Sirozhiddin Astanakulov;Kirguistán;19;26/01/2006
Extremo derecho;Yusuf Bozkurt;Turquía;-;14/01/2006
Delantero centro;Taulant Seferi;Albania;99;15/11/1996
Delantero centro;Ali Habeşoğlu;Turquía;90;29/07/2004
Delantero centro;Celal Dumanlı;Turquía;48;28/04/1994
