pos;name;pais;num;edad
Portero;İsa Doğan ;Turquía;1;22/09/1999
Portero;Mücahit Serbest;Turquía;26;23/11/2004
Portero;Alp Tutar;Turquía;28;28/05/1997
Portero;Alp Arda;Turquía;59;07/06/1995
Defensa central;Fatih Tultak;Turquía;4;28/02/2001
Defensa central;Emrecan Uzunhan;Turquía;24;26/02/2001
Defensa central;Michael Ologo  ;Nigeria;5;05/04/2003
Defensa central;Duran Şahin;Turquía;14;25/07/2005
Defensa central;Muhlis Dağaşan;Turquía;58;09/08/2004
Defensa central;Ali Şahin Yılmaz;Turquía;84;01/01/2004
Defensa central;Baran Alp Vardar ;Turquía;-;02/06/2005
Defensa central;İzzet Erdal;Turquía;40;27/05/2005
Lateral izquierdo;Duhan Aksu ;Turquía;3;11/09/1997
Lateral izquierdo;Yusuf Özer;Turquía;44;19/06/2002
Lateral izquierdo;Deniz Tuncer;Turquía;18;08/01/2007
Lateral derecho;Yunus Bahadır;Turquía;2;07/08/2002
Lateral derecho;Özcan Şahan;Turquía;20;08/01/1999
Lateral derecho;Demeaco Duhaney;Inglaterra;21;13/10/1998
Pivote;Modestas Vorobjovas;Lituania;6;30/12/1995
Pivote;Demir Mermerci;Turquía;32;14/09/2006
Centrocampista;Yorro Savage;Gambia;-;12/09/2007
Pivote;Elvin Mendy;Gambia;15;23/12/2006
Mediocentro;Dijlan Aydın ;Turquía;11;16/06/2000
Mediocentro;Isa Dayakli;Austria;83;05/01/2002
Mediocentro;Fahri Ay;Turquía;33;01/01/2005
Mediocentro;Muhammed Mert;Turquía;25;09/02/1995
Mediocentro ofensivo;Vefa Temel;Turquía;8;03/11/2002
Mediocentro ofensivo;Ömer Faruk Duymaz;Turquía;52;13/05/2006
Extremo izquierdo;Mendy Mamadou;Senegal;66;04/10/1998
Extremo izquierdo;Alieu Cham;Gambia;30;05/05/2006
Extremo izquierdo;Phellipe;Brasil;37;23/05/2004
Extremo izquierdo;Abdurrahman Emek;Turquía;-;01/01/2001
Extremo izquierdo;Ömer Faruk Karahan;Turquía;97;03/08/2006
Extremo derecho;David Sambissa;Gabón;7;11/01/1996
Extremo derecho;Cenk Şahin;Turquía;70;22/09/1994
Delantero centro;Mario Krstovski;Macedonia del Norte;77;03/04/1998
Delantero centro;Mustafa Sol;Turquía;99;20/06/2002
Delantero centro;Eren Arda Şan;Turquía;81;20/06/2006
Delantero centro;Ertuğrul Sandıkcı;Turquía;31;01/03/2007
Delantero centro;Soner Salih Yavuz;Turquía;42;01/03/2006
