pos;name;pais;num;edad
Portero;Ertuğrul Taşkıran ;Turquía;1;05/11/1989
Portero;Paulo Victor;Brasil;48;12/01/1987
Defensa central;Ümit Akdağ;Rumania;50;06/10/2003
Defensa central;Nuno Lima;Portugal;3;16/03/2001
Defensa central;Fatih Aksoy;Turquía;20;06/11/1997
Defensa central;Fidan Aliti;Kosovo;5;03/10/1993
Defensa central;Bruno Viana;Brasil;30;05/02/1995
Lateral derecho;Batuhan Yavuz;Turquía;2;04/05/2005
Pivote;Maestro;Angola;58;04/08/2003
Pivote;Gaius Makouta;Congo;42;25/07/1997
Mediocentro;Nicolas Janvier;Francia;17;11/08/1998
Mediocentro;İzzet Çelik;Turquía;6;20/06/2004
Mediocentro;Buluthan Bulut;Turquía;25;21/07/2002
Interior derecho;Florent Hadergjonaj;Kosovo;94;31/07/1994
Interior derecho;Enes Keskin;Turquía;8;04/06/2001
Interior izquierdo;Ruan ;Brasil;11;03/05/2005
Interior izquierdo;Baran Moğultay;Turquía;18;18/05/2004
Interior izquierdo;Yusuf Özdemir;Turquía;88;10/01/2001
Mediocentro ofensivo;Meschack Elia;RD del Congo;12;06/08/1997
Mediocentro ofensivo;Ianis Hagi;Rumania;14;22/10/1998
Mediocentro ofensivo;İbrahim Kaya;Turquía;27;09/03/2001
Mediocentro ofensivo;Ui-jo Hwang;Corea del Sur;16;28/08/1992
Mediocentro ofensivo;Efecan Karaca ;Turquía;7;16/11/1989
Mediocentro ofensivo;Yusuf Can Karademir;Turquía;38;04/01/2008
Delantero centro;Steve Mounié;Benín;9;29/09/1994
Delantero centro;Güven Yalçın;Turquía;10;18/01/1999
