pos;name;pais;num;edad
Portero;Abdullah Yiğiter;Turquía;21;20/02/2000
Portero;Julián Cuesta;España;1;28/03/1991
Portero;Kağan Arıcan;Turquía;96;10/03/2006
Defensa central;Georgiy Dzhikiya;Rusia;14;21/11/1993
Defensa central;Lautaro Giannetti;Argentina;30;13/11/1993
Defensa central;Hüseyin Türkmen;Turquía;4;01/01/1998
Defensa central;Bahadır Öztürk;Turquía;5;01/10/1995
Defensa central;Veysel Sarı ;Turquía;89;25/07/1988
Defensa central;Ensar Buğra Tivsiz;Turquía;27;11/06/2007
Defensa central;Ege İzmirli ;Turquía;98;23/01/2008
Lateral izquierdo;Kenneth Paal;Surinam;3;24/06/1997
Lateral izquierdo;Samet Karakoç;Turquía;2;22/10/2002
Lateral derecho;Bünyamin Balcı;Turquía;7;31/05/2000
Lateral derecho;Erdoğan Yeşilyurt;Turquía;17;06/11/1993
Pivote;Jesper Ceesay;Gambia;23;20/10/2001
Mediocentro;Soner Dikmen;Turquía;6;01/09/1993
Mediocentro;Dario Saric;Bosnia y Herzegovina;88;30/05/1997
Mediocentro;Yakub İlçin;Turquía;20;24/03/2009
Mediocentro ofensivo;Abdülkadir Ömür;Turquía;10;25/06/1999
Mediocentro ofensivo;Ramzi Safuri ;Israel;8;21/10/1995
Mediocentro ofensivo;Sander van de Streek;Países Bajos;22;24/03/1993
Extremo izquierdo;Nikola Storm;Bélgica;26;30/09/1994
Extremo izquierdo;Doğukan Sinik;Turquía;70;21/01/1999
Extremo izquierdo;Berkay Topdemir;Turquía;33;01/01/2007
Extremo derecho;Samuel Ballet;Suiza;11;12/03/2001
Delantero centro;Yohan Boli;Costa de Marfil;77;17/11/1993
Delantero centro;Bachir Gueye;Senegal;24;08/03/2003
Delantero centro;Kerem Kayaarası;Turquía;90;18/03/2006
