pos;name;pais;num;edad
Portero;Ersin Destanoğlu;Turquía;30;01/01/2001
Portero;Devis Vásquez;Colombia;32;12/05/1998
Portero;Emre Bilgin;Turquía;99;26/02/2004
Portero;Emir Yaşar;Turquía;96;16/01/2006
Defensa central;Emmanuel Agbadou;Costa de Marfil;12;17/06/1997
Defensa central;Tiago Djaló;Portugal;35;09/04/2000
Defensa central;Emirhan Topçu ;Turquía;53;11/10/2000
Defensa central;Felix Uduokhai;Alemania;14;09/09/1997
Lateral izquierdo;Yasin Özcan;Turquía;58;20/04/2006
Lateral izquierdo;Rıdvan Yılmaz;Turquía;33;21/05/2001
Lateral derecho;Amir Murillo;Panamá;62;11/02/1996
Lateral derecho;Taylan Bulut;Alemania;22;19/01/2006
Lateral derecho;Gökhan Sazdağı;Turquía;25;20/09/1994
Pivote;Kristjan Asllani;Albania;23;09/03/2002
Pivote;Wilfred Ndidi;Nigeria;4;16/12/1996
Pivote;Kartal Yılmaz;Turquía;17;04/11/2000
Pivote;Necip Uysal;Turquía;20;24/01/1991
Mediocentro;Orkun Kökçü ;Turquía;10;29/12/2000
Mediocentro;Salih Uçan;Turquía;8;06/01/1994
Mediocentro ofensivo;Junior Olaitan;Benín;15;09/05/2002
Extremo izquierdo;El Bilal Touré ;Malí;19;03/10/2001
Extremo izquierdo;Jota Silva;Portugal;26;01/08/1999
Extremo izquierdo;Devrim Şahin;Turquía;52;01/04/2007
Extremo derecho;Vaclav Cerny;República Checa;18;17/10/1997
Extremo derecho;Cengiz Ünder;Turquía;11;14/07/1997
Extremo derecho;Milot Rashica;Kosovo;7;28/06/1996
Delantero centro;Hyeon-gyu Oh;Corea del Sur;9;12/04/2001
Delantero centro;Mustafa Hekimoğlu;Turquía;91;22/04/2007
