pos;name;pais;num;edad
Portero;Yahia Fofana;Costa de Marfil;75;21/08/2000
Portero;Erdem Canpolat;Turquía;1;13/04/2001
Portero;Efe Doğan;Turquía;35;20/08/2004
Defensa central;Attila Mocsi;Hungría;4;29/05/2000
Defensa central;Modibo Sagnan;Malí;27;14/04/1999
Defensa central;Khusniddin Alikulov ;Uzbekistán;2;04/04/1999
Defensa central;Samet Akaydin ;Turquía;3;13/03/1994
Defensa central;Emir Ortakaya;Turquía;65;22/06/2004
Lateral izquierdo;Mithat Pala;Turquía;54;15/08/2000
Lateral izquierdo;Casper Højer ;Dinamarca;5;20/11/1994
Lateral derecho;Taha Şahin;Turquía;37;22/10/2000
Lateral derecho;Furkan Orak;Turquía;70;28/05/2001
Pivote;Giannis Papanikolaou;Grecia;6;18/11/1998
Mediocentro;Qazim Laci;Albania;20;19/01/1996
Mediocentro;Ibrahim Olawoyin;Nigeria;10;01/12/1997
Mediocentro;Muhamed Buljubasic;Bosnia y Herzegovina;18;04/07/2004
Mediocentro;Taylan Antalyalı;Turquía;14;08/01/1995
Extremo izquierdo;Valentin Mihăilă;Rumania;7;02/02/2000
Extremo izquierdo;Altin Zeqiri;Kosovo;77;18/07/2000
Extremo izquierdo;Emrecan Bulut;Turquía;99;26/11/2002
Extremo derecho;Adedire Mebude;Escocia;17;28/05/2004
Extremo derecho;Loide Augusto;Angola;50;26/02/2000
Delantero centro;Frantzdy Pierrot;Haití;19;29/03/1995
Delantero centro;Ali Sowe;Gambia;9;14/06/1994
Delantero centro;Halil Dervişoğlu;Turquía;11;08/12/1999
