pos;name;pais;num;edad
Portero;Marcos Felipe;Brasil;1;13/04/1996
Portero;Jankat Yılmaz;Turquía;24;16/08/2004
Portero;Umut Keseci;Turquía;31;05/02/2004
Defensa central;Anıl Yaşar;Turquía;16;01/07/2002
Defensa central;Jérôme Onguéné;Camerún;68;22/12/1997
Defensa central;Luccas Claro;Brasil;4;02/10/1991
Defensa central;Bedirhan Özyurt;Turquía;5;25/03/2003
Defensa central;Gilbert Mendy;Senegal;3;05/11/2004
Defensa central;Diabel Ndoye;Senegal;14;27/08/2007
Lateral izquierdo;Umut Meraş;Turquía;77;20/12/1995
Lateral izquierdo;Arda Yavuz;Turquía;88;20/05/2006
Lateral derecho;Calegari;Brasil;2;27/02/2002
Lateral derecho;Talha Ülvan;Turquía;17;20/04/2001
Pivote;Mateusz Legowski;Polonia;20;29/01/2003
Pivote;Baran Gezek;Turquía;55;26/08/2005
Pivote;Taşkın İlter;Turquía;28;05/07/1994
Mediocentro;Charles-André Raux-Yao;Francia;15;15/11/2001
Mediocentro ofensivo;Emre Akbaba;Turquía;8;04/10/1992
Mediocentro ofensivo;Ismaila Manga;Senegal;27;15/05/2007
Extremo izquierdo;Lenny Pintor;Francia;23;05/08/2000
Extremo derecho;Denis Radu;Rumania;22;25/03/2003
Extremo derecho;Ángel Torres;Colombia;10;06/04/2000
Extremo derecho;Dorin Rotariu;Rumania;7;29/07/1995
Extremo derecho;Christ Sadia;Costa de Marfil;93;11/04/2007
Delantero centro;Umut Bozok;Turquía;19;19/09/1996
Delantero centro;Metehan Altunbaş;Turquía;26;07/01/2003
Delantero centro;Abdou Khadre Sy;Senegal;25;15/12/2007
