pos;name;pais;num;edad
Portero;Ivo Grbic ;Croacia;13;18/01/1996
Portero;Furkan Bekleviç;Turquía;99;31/01/1999
Portero;Kerem Yandal;Turquía;96;09/05/2006
Portero;Berke Can Evli;Turquía;98;29/05/2009
Defensa central;Igor Lichnovsky;Chile;3;07/03/1994
Defensa central;Davide Biraschi;Italia;4;02/07/1994
Defensa central;Fatih Kurucuk;Turquía;22;21/01/1998
Defensa central;Anıl Yiğit Çınar;Turquía;94;10/07/2003
Defensa central;Burhan Ersoy;Turquía;24;13/06/2003
Defensa central;Muhammed Kadıoğlu;Turquía;32;01/01/2007
Lateral izquierdo;Çağtay Kurukalıp;Turquía;33;24/02/2002
Lateral izquierdo;Filip Mladenovic;Serbia;25;15/08/1991
Lateral derecho;Ricardo Esgaio;Portugal;47;16/05/1993
Pivote;Bartuğ Elmaz;Turquía;6;19/02/2003
Pivote;Matías Kranevitter;Argentina;5;21/05/1993
Pivote;Yaya Onogo;Costa de Marfil;19;19/12/2007
Mediocentro;Berkay Özcan;Turquía;8;15/02/1998
Mediocentro;Daniel Johnson;Jamaica;11;08/10/1992
Mediocentro;Tuğbey Akgün;Turquía;16;09/04/2003
Mediocentro ofensivo;Sam Larsson;Suecia;23;10/04/1993
Extremo izquierdo;Serginho;Brasil;70;06/04/1995
Extremo izquierdo;Barış Kalaycı;Turquía;72;30/08/2005
Extremo izquierdo;Ahmet Sivri;Turquía;17;06/07/1999
Extremo derecho;Shavy Babicka;Gabón;80;01/06/2000
Extremo derecho;Daniele Verde;Italia;10;20/06/1996
Extremo derecho;João Camacho;Portugal;37;23/06/1994
Extremo derecho;Ahmed Traore;Costa de Marfil;88;13/04/2007
Extremo derecho;Tarık Buğra Kalpaklı;Turquía;20;06/04/2009
Delantero centro;Tiago Çukur;Turquía;21;30/11/2002
Delantero centro;Moussa Kone;Costa de Marfil;15;30/12/2007
