pos;name;pais;num;edad
Portero;Ederson;Brasil;31;17/08/1993
Portero;Tarık Çetin;Turquía;13;08/01/1997
Portero;Mert Günok;Turquía;34;01/03/1989
Portero;Engin Can Biterge;Turquía;39;22/01/2007
Defensa central;Jayden Oosterwolde;Países Bajos;24;26/04/2001
Defensa central;Milan Škriniar  ;Eslovaquia;37;11/02/1995
Defensa central;Yiğit Efe Demir;Turquía;14;02/08/2004
Defensa central;Çağlar Söyüncü ;Turquía;4;23/05/1996
Lateral izquierdo;Archie Brown;Inglaterra;3;28/05/2002
Lateral izquierdo;Levent Mercan;Turquía;22;10/12/2000
Lateral derecho;Mert Müldür;Turquía;18;03/04/1999
Lateral derecho;Nélson Semedo ;Portugal;27;16/11/1993
Pivote;Edson Álvarez ;México;11;24/10/1997
Pivote;İsmail Yüksek;Turquía;5;26/01/1999
Pivote;N'Golo Kanté;Francia;17;29/03/1991
Mediocentro;Mattéo Guendouzi;Francia;6;14/04/1999
Mediocentro;Fred;Brasil;7;05/03/1993
Mediocentro;Abdou Aziz Fall;Senegal;60;20/02/2007
Mediocentro ofensivo;Marco Asensio;España;21;21/01/1996
Mediocentro ofensivo;Mert Hakan Yandaş;Turquía;8;19/08/1994
Extremo izquierdo;Kerem Aktürkoğlu;Turquía;9;21/10/1998
Extremo izquierdo;Oğuz Aydın;Turquía;70;27/10/2000
Extremo derecho;Dorgeles Nene;Malí;45;23/12/2002
Extremo derecho;Anthony Musaba;Países Bajos;20;06/12/2000
Extremo derecho;Emre Mor;Turquía;-;24/07/1997
Delantero centro;Sidiki Chérif;Francia;26;15/12/2006
Delantero centro;Talisca ;Brasil;94;01/02/1994
