pos;name;pais;num;edad
Portero;Uğurcan Çakır;Turquía;1;05/04/1996
Portero;Günay Güvenç;Turquía;19;25/06/1991
Portero;Batuhan Şen;Turquía;12;03/02/1999
Portero;Enes Emre Büyük ;Turquía;70;08/05/2006
Defensa central;Wilfried Singo;Costa de Marfil;90;25/12/2000
Defensa central;Davinson Sánchez;Colombia;6;12/06/1996
Defensa central;Abdülkerim Bardakcı;Turquía;42;07/09/1994
Defensa central;Arda Ünyay ;Turquía;91;18/01/2007
Defensa central;Metehan Baltacı;Turquía;3;03/11/2002
Lateral izquierdo;Ismail Jakobs;Senegal;4;17/08/1999
Lateral izquierdo;Eren Elmalı;Turquía;17;07/07/2000
Lateral derecho;Sacha Boey;Francia;93;13/09/2000
Lateral derecho;Roland Sallai ;Hungría;7;22/05/1997
Pivote;Lucas Torreira;Uruguay;34;11/02/1996
Pivote;Mario Lemina;Gabón;99;01/09/1993
Pivote;Kaan Ayhan;Turquía;23;10/11/1994
Mediocentro;Gabriel Sara;Brasil;8;26/06/1999
Mediocentro;Renato Nhaga;Guinea-Bissau;74;27/03/2007
Mediocentro;İlkay Gündoğan;Alemania;20;24/10/1990
Mediocentro;Gökdeniz Gürpüz;Turquía;33;25/02/2006
Mediocentro ofensivo;Yunus Akgün ;Turquía;11;07/07/2000
Extremo izquierdo;Barış Alper Yılmaz;Turquía;53;23/05/2000
Extremo izquierdo;Noa Lang;Países Bajos;77;17/06/1999
Extremo izquierdo;Ahmed Kutucu;Turquía;21;01/03/2000
Extremo derecho;Leroy Sané;Alemania;10;11/01/1996
Extremo derecho;Yáser Asprilla;Colombia;22;19/11/2003
Extremo derecho;Armando Güner;Argentina;27;07/01/2008
Delantero centro;Victor Osimhen;Nigeria;45;29/12/1998
Delantero centro;Mauro Icardi  ;Argentina;9;19/02/1993
