pos;name;pais;num;edad
Portero;Zafer Görgen;Turquía;20;21/06/2000
Portero;Burak Bozan;Turquía;71;23/08/2000
Defensa central;Tayyip Talha Sanuç;Turquía;23;17/12/1999
Defensa central;Nihad Mujakic;Bosnia y Herzegovina;5;15/04/1998
Defensa central;Arda Kızıldağ;Turquía;4;15/10/1998
Defensa central;Myenty Abena;Surinam;14;12/12/1994
Defensa central;Nazım Sangaré;Turquía;30;30/05/1994
Lateral izquierdo;Kévin Rodrigues;Portugal;77;05/03/1994
Lateral derecho;Deian Sorescu;Rumania;18;29/08/1997
Lateral derecho;Luis Pérez;España;2;04/02/1995
Lateral derecho;Salem M'Bakata ;Francia;22;19/04/1998
Pivote;Melih Kabasakal;Turquía;6;18/02/1996
Pivote;Ogün Özçiçek;Turquía;61;24/01/1999
Mediocentro;Drissa Camara;Costa de Marfil;3;18/02/2002
Mediocentro;Karamba Gassama;Gambia;17;02/01/2005
Mediocentro ofensivo;Kacper Kozlowski;Polonia;10;16/10/2003
Mediocentro ofensivo;Alexandru Maxim ;Rumania;44;08/07/1990
Mediocentro ofensivo;Victor Ntino-Emo Gidado;Nigeria;8;14/07/2004
Extremo izquierdo;Yusuf Kabadayi;Alemania;32;02/02/2004
Extremo izquierdo;Christopher Lungoyi;Suiza;11;04/07/2000
Extremo izquierdo;Ali Osman Kalın;Turquía;26;23/03/2008
Extremo derecho;Ali Mevran Ablak ;Turquía;16;27/07/2003
Delantero centro;Mohamed Bayo;Guinea;9;04/06/1998
Delantero centro;Denis Drăguș ;Rumania;70;06/07/1999
Delantero centro;Muhammet Akmelek;Turquía;85;06/06/2009
