pos;name;pais;num;edad
Portero;Ricardo Velho;Portugal;24;20/08/1998
Portero;Erhan Erentürk;Turquía;18;30/05/1995
Portero;Ebrar Aydın;Turquía;33;03/09/2000
Portero;Berk Deniz Çukurcu ;Turquía;19;02/01/2008
Defensa central;Dimitrios Goutas;Grecia;6;04/04/1994
Defensa central;Thalisson;Brasil;2;07/05/1998
Defensa central;Zan Zuzek;Eslovenia;4;26/01/1997
Defensa central;Abdullah Şahindere  ;Turquía;-;09/06/2003
Defensa central;Umut İslamoğlu;Turquía;25;11/01/2007
Defensa central;Arda Çağan Çelik;Turquía;44;29/03/2005
Lateral izquierdo;Abdurrahim Dursun;Turquía;77;01/12/1998
Lateral izquierdo;Matej Hanousek;República Checa;23;02/06/1993
Lateral izquierdo;Yiğit Hamza Aydar;Turquía;93;20/09/2008
Lateral derecho;Pedro Pereira;Portugal;13;22/01/1998
Lateral derecho;Fıratcan Üzüm;Turquía;88;04/06/1999
Lateral derecho;Emirhan Ünal ;Turquía;27;04/02/2005
Pivote;Tom Dele-Bashiru;Nigeria;15;17/09/1999
Pivote;Moussa Kyabou  ;Malí;81;18/04/1998
Pivote;Peter Etebo   ;Nigeria;5;09/11/1995
Mediocentro;Franco Tongya;Italia;70;13/03/2002
Mediocentro;Oğulcan Ülgün;Turquía;35;11/05/1998
Mediocentro;Samed Onur;Turquía;8;15/07/2002
Mediocentro;Ensar Kemaloğlu;Turquía;61;05/10/1998
Mediocentro ofensivo;Dal Varesanovic;Bosnia y Herzegovina;53;23/05/2001
Extremo izquierdo;Henry Onyekuru;Nigeria;7;05/06/1997
Extremo izquierdo;Metehan Mimaroğlu;Turquía;10;07/07/1994
Extremo derecho;Cihan Çanak;Turquía;99;24/01/2005
Extremo derecho;Göktan Gürpüz;Turquía;11;22/01/2003
Extremo derecho;Adama Traoré;Malí;20;05/06/1995
Mediapunta;Sékou Koïta;Malí;22;28/11/1999
Delantero centro;M'Baye Niang;Senegal;29;19/12/1994
Delantero centro;Ayaz Özcan;Turquía;16;01/10/2009
