pos;name;pais;num;edad
Portero;Mateusz Lis;Polonia;1;27/02/1997
Portero;Ekrem Kılıçarslan;Turquía;17;22/08/1997
Portero;Şamil Öztürk;Turquía;33;09/05/2005
Portero;Nevzat Üzel;Turquía;21;07/03/2007
Defensa central;Taha Altıkardeş;Turquía;4;22/08/2003
Defensa central;Malcom Bokele;Camerún;26;12/02/2000
Defensa central;Furkan Bayır;Turquía;23;09/02/2000
Defensa central;Héliton;Brasil;5;13/11/1995
Defensa central;Allan Godói;Brasil;3;04/04/1993
Defensa central;Ege Yıldırım;Turquía;45;18/04/2007
Pivote;Anthony Dennis;Nigeria;30;21/06/2004
Pivote;Novatus Miroshi;Tanzania;20;02/09/2002
Pivote;Musah Mohammed;Ghana;6;05/01/2002
Mediocentro;Furkan Malak;Turquía;-;14/01/2005
Interior derecho;Arda Okan Kurtulan;Turquía;2;19/11/2002
Interior derecho;Ogün Bayrak;Turquía;77;10/10/1998
Interior derecho;Uğur Kaan Yıldız;Turquía;22;06/08/2002
Interior izquierdo;Amin Cherni;Túnez;15;07/07/2001
Interior izquierdo;İsmail Köybaşı  ;Turquía;12;10/07/1989
Mediocentro ofensivo;Filip Krastev;Bulgaria;10;15/10/2001
Mediocentro ofensivo;Alexis Antunes;Suiza;8;31/07/2000
Mediocentro ofensivo;Efkan Bekiroğlu;Turquía;11;14/09/1995
Delantero centro;Juan;Brasil;9;07/03/2002
Delantero centro;Janderson;Brasil;39;06/05/1999
Delantero centro;Guilherme Luiz;Brasil;14;25/04/2005
Delantero centro;Jeh;Brasil;19;24/10/1999
