pos;name;pais;num;edad
Portero;Muhammed Şengezer ;Turquía;16;05/01/1997
Portero;Doğan Alemdar;Turquía;80;29/10/2002
Portero;Volkan Babacan;Turquía;1;11/08/1988
Portero;Luca Stancic;Turquía;78;20/01/2007
Defensa central;Jerome Opoku;Ghana;3;14/10/1998
Defensa central;Léo Duarte;Brasil;5;17/07/1996
Defensa central;Hamza Güreler;Turquía;15;10/04/2006
Defensa central;Ousseynou Ba;Senegal;27;11/11/1995
Lateral izquierdo;Christopher Operi;Costa de Marfil;21;29/04/1997
Lateral izquierdo;Kazımcan Karataş ;Turquía;88;16/01/2003
Lateral derecho;Festy Ebosele;Irlanda;36;02/08/2002
Lateral derecho;Onur Bulut;Turquía;6;16/04/1994
Lateral derecho;Ömer Ali Şahiner ;Turquía;42;02/01/1992
Pivote;Jakub Kaluzinski;Polonia;18;31/10/2002
Pivote;Berat Özdemir;Turquía;2;23/05/1998
Pivote;Onur Ergün;Turquía;4;15/11/1992
Mediocentro;Olivier Kemen;Camerún;8;20/07/1996
Mediocentro;Miguel Crespo;Portugal;13;11/09/1996
Mediocentro;Umut Güneş;Turquía;20;16/03/2000
Extremo izquierdo;Amine Harit ;Marruecos;25;18/06/1997
Extremo izquierdo;Ivan Brnic;Croacia;77;23/08/2001
Extremo izquierdo;Berkay Aslan;Turquía;45;05/01/2007
Extremo derecho;Abbosbek Fayzullaev;Uzbekistán;11;03/10/2003
Extremo derecho;Yusuf Sarı;Turquía;7;20/11/1998
Delantero centro;Eldor Shomurodov;Uzbekistán;14;29/06/1995
Delantero centro;Bertuğ Yıldırım;Turquía;91;12/07/2002
Delantero centro;Davie Selke;Alemania;9;20/01/1995
Delantero centro;Nuno Da Costa;Cabo Verde;10;10/02/1991
