pos;name;pais;num;edad
Portero;Andreas Gianniotis;Grecia;1;18/12/1992
Portero;Ali Emre Yanar;Turquía;25;15/05/1998
Portero;Ege Albayrak;Turquía;61;20/08/2007
Portero;Şant Kazancı;Turquía;98;18/12/2008
Defensa central;Rodrigo Becão;Brasil;50;19/01/1996
Defensa central;Nicholas Opoku;Ghana;20;11/08/1997
Defensa central;Adem Arous;Túnez;4;17/07/2004
Defensa central;Taylan Aydın;Turquía;29;10/02/2006
Defensa central;Ahmet Taha Dağbaşı;Turquía;30;01/04/2005
Lateral izquierdo;Godfried Frimpong;Países Bajos;21;21/04/1999
Lateral izquierdo;Emre Taşdemir ;Turquía;33;08/08/1995
Lateral derecho;Cláudio Winck;Brasil;2;15/04/1994
Lateral derecho;Kamil Ahmet Çörekçi ;Turquía;22;01/02/1992
Lateral derecho;Berkay Muratoğlu;Turquía;47;02/01/2008
Pivote;Andri Fannar Baldursson;Islandia;16;10/01/2002
Pivote;Burak Gültekin;Turquía;6;17/11/2006
Mediocentro;Kerem Demirbay ;Alemania;26;03/07/1993
Mediocentro;Eyüp Aydın;Turquía;5;02/08/2004
Mediocentro;Cafú;Portugal;8;26/02/1993
Mediocentro ofensivo;Haris Hajradinovic   ;Bosnia y Herzegovina;10;18/02/1994
Extremo izquierdo;Adrian Benedyczak;Polonia;19;24/11/2000
Extremo izquierdo;Mortadha Ben Ouanes;Túnez;12;02/07/1994
Extremo izquierdo;Ali Yavuz Kol;Turquía;11;29/01/2001
Extremo izquierdo;Erdem Çetinkaya;Turquía;80;29/03/2001
Extremo derecho;İrfan Can Kahveci;Turquía;71;15/07/1995
Extremo derecho;Jim Allevinah;Gabón;18;27/02/1995
Extremo derecho;Fousseni Diabaté;Malí;34;18/10/1995
Delantero centro;Pape Habib Guèye;Senegal;77;20/09/1999
Delantero centro;Yusuf Barası;Turquía;9;31/03/2003
Delantero centro;Kubilay Kanatsızkuş;Turquía;17;28/03/1997
Delantero centro;Cenk Tosun;Turquía;23;07/06/1991
