pos;name;pais;num;edad
Portero;Bilal Bayazıt;Turquía;25;08/04/1999
Portero;Deniz Dönmezer;Turquía;27;21/09/2008
Portero;Onurcan Piri;Turquía;1;28/09/1994
Defensa central;Semih Güler;Turquía;6;30/11/1994
Defensa central;Stefano Denswil;Surinam;4;07/05/1993
Defensa central;Majid Hosseini  ;Irán;5;20/06/1996
Defensa central;Jadel Katongo;Inglaterra;2;14/09/2004
Defensa central;Kayra Cihan;Turquía;38;30/09/2007
Defensa central;Abdulsamet Burak;Turquía;3;13/05/1996
Lateral izquierdo;Lionel Carole ;Francia;23;12/04/1991
Lateral derecho;Joshua Brenet;Curazao;30;20/03/1994
Lateral derecho;Ramazan Civelek;Turquía;28;22/01/1996
Lateral derecho;Burak Kapacak;Turquía;17;08/12/1999
Pivote;Youssef Aït Bennasser;Marruecos;15;07/07/1996
Pivote;Dorukhan Toköz;Turquía;24;21/05/1996
Mediocentro;László Bénes;Eslovaquia;8;09/09/1997
Mediocentro;Görkem Sağlam;Turquía;61;11/04/1998
Mediocentro;Furkan Soyalp;Turquía;33;12/06/1995
Mediocentro;Yiğit Emre Çeltik ;Turquía;21;07/04/2003
Mediocentro ofensivo;João Mendes;Portugal;10;21/10/1994
Mediocentro ofensivo;Eray Özbek;Turquía;16;09/01/2003
Extremo izquierdo;Miguel Cardoso ;Portugal;7;19/06/1994
Extremo izquierdo;Sam Mather;Inglaterra;11;03/09/2004
Extremo izquierdo;Nurettin Korkmaz;Turquía;77;27/06/2002
Extremo derecho;Denis Makarov;Rusia;18;18/02/1998
Extremo derecho;Carlos Mané;Guinea-Bissau;20;11/03/1994
Delantero centro;Fedor Chalov;Rusia;63;10/04/1998
Delantero centro;German Onugkha;Rusia;9;06/07/1996
Delantero centro;Indrit Tuci;Albania;22;14/09/2000
Delantero centro;Talha Sarıarslan;Turquía;99;18/01/2004
