pos;name;pais;num;edad
Portero;Aleksandar Jovanovic ;Serbia;1;06/12/1992
Portero;Serhat Öztaşdelen;Turquía;83;09/12/2004
Portero;Gökhan Değirmenci ;Turquía;35;21/03/1989
Defensa central;Botond Balogh;Hungría;5;06/06/2002
Defensa central;Hrvoje Smolcic;Croacia;6;17/08/2000
Defensa central;Mateusz Wieteska  ;Polonia;4;11/02/1997
Lateral izquierdo;Massadio Haïdara;Malí;21;02/12/1992
Lateral izquierdo;Muharrem Cinan ;Turquía;3;13/05/1998
Lateral derecho;Anfernee Dijksteel;Surinam;2;27/10/1996
Lateral derecho;Ahmet Oğuz;Turquía;22;16/01/1993
Pivote;Show;Angola;14;06/03/1999
Pivote;Mahamadou Susoho ;España;20;20/01/2005
Mediocentro;Habib Keïta;Malí;8;05/02/2002
Mediocentro;Karol Linetty;Polonia;10;02/02/1995
Mediocentro;Joseph Nonge;Bélgica;98;15/05/2005
Mediocentro;Samet Yalçın;Turquía;23;03/03/1994
Extremo izquierdo;Darko Churlinov;Macedonia del Norte;17;11/07/2000
Extremo izquierdo;Rigoberto Rivas;Honduras;99;31/07/1998
Extremo izquierdo;Tayfur Bingöl;Turquía;75;11/01/1993
Extremo izquierdo;Furkan Gedik;Turquía;18;12/07/2002
Extremo derecho;Can Keleş ;Austria;70;02/09/2001
Extremo derecho;Dan Agyei;Inglaterra;7;01/06/1997
Delantero centro;Bruno Petkovic ;Croacia;9;16/09/1994
Delantero centro;Serdar Dursun;Turquía;19;19/10/1991
Delantero centro;Ahmet Sağat;Turquía;11;27/05/1996
