pos;name;pais;num;edad
Portero;Deniz Ertaş;Turquía;1;20/03/2005
Portero;Bahadır Güngördü;Turquía;13;16/01/1996
Portero;Egemen Aydın;Turquía;29;12/05/2007
Defensa central;Adamo Nagalo;Burkina Faso;39;22/09/2002
Defensa central;Riechedly Bazoer;Curazao;20;12/10/1996
Defensa central;Adil Demirbağ ;Turquía;4;10/12/1997
Defensa central;Rayyan Baniya;Turquía;22;18/02/1999
Defensa central;Uğurcan Yazğılı;Turquía;5;09/04/1999
Defensa central;Josip Calusic;Croacia;15;11/10/1993
Lateral izquierdo;Arif Boşluk;Turquía;24;06/06/2003
Lateral izquierdo;Guilherme;Brasil;12;01/04/1990
Lateral izquierdo;Yasir Subaşı;Turquía;3;01/01/1996
Lateral derecho;Yhoan Andzouana;Congo;23;13/12/1996
Pivote;Jin-ho Jo;Corea del Sur;21;10/07/2003
Pivote;Marko Jevtovic;Serbia;16;24/07/1993
Pivote;Ufuk Akyol ;Turquía;19;27/08/1997
Mediocentro;Berkan Kutlu;Turquía;18;25/01/1998
Mediocentro;Melih İbrahimoğlu ;Turquía;77;17/07/2000
Mediocentro;Morten Bjørlo;Noruega;42;04/10/1995
Mediocentro;Esat Buğa;Turquía;30;08/08/2006
Mediocentro ofensivo;Enis Bardhi;Macedonia del Norte;10;02/07/1995
Extremo izquierdo;Kazeem Olaigbe;Bélgica;70;02/01/2003
Extremo izquierdo;Diogo Gonçalves;Portugal;17;06/02/1997
Extremo izquierdo;Pedrinho;Brasil;8;19/12/1996
Extremo izquierdo;Sander Svendsen;Noruega;32;06/08/1997
Extremo derecho;Tunahan Taşçı;Turquía;7;29/04/2002
Extremo derecho;Marius Ștefănescu;Rumania;11;14/08/1998
Extremo derecho;Deniz Türüç;Turquía;9;29/01/1993
Delantero centro;Jackson Muleka;RD del Congo;40;04/10/1999
Delantero centro;Blaz Kramer;Eslovenia;99;01/06/1996
