pos;name;pais;num;edad
Portero;Okan Kocuk;Turquía;1;27/07/1995
Portero;İrfan Can Eğribayat;Turquía;71;30/06/1998
Portero;Efe Yiğit Üstün;Turquía;33;07/05/2008
Portero;Efe Berat Törüz;Turquía;48;08/09/2006
Defensa central;Rick van Drongelen;Países Bajos;4;20/12/1998
Defensa central;Toni Borevković;Croacia;24;18/06/1997
Defensa central;Lubomir Satka;Eslovaquia;37;02/12/1995
Defensa central;Bedirhan Çetin ;Turquía;96;29/06/2006
Defensa central;Ali Badra Diabaté;Costa de Marfil;15;05/12/2006
Lateral izquierdo;Logi Tómasson;Islandia;17;13/09/2000
Lateral izquierdo;Soner Gönül;Turquía;28;11/06/1997
Lateral izquierdo;Enes Albak;Turquía;23;16/05/2005
Lateral derecho;Joe Mendes;Suecia;2;31/12/2002
Lateral derecho;Zeki Yavru ;Turquía;18;05/09/1991
Pivote;Antoine Makoumbou;Congo;29;18/07/1998
Pivote;Yunus Emre Çift;Turquía;55;01/09/2003
Pivote;Franck Atoen;Camerún;25;21/07/2006
Pivote;Eyüp Değirmenci;Turquía;73;16/04/2007
Mediocentro;Olivier Ntcham;Camerún;10;09/02/1996
Mediocentro;Celil Yüksel;Turquía;5;01/01/1998
Mediocentro;Yalçın Kayan;Turquía;20;30/01/1999
Mediocentro;Muhammet Özbaskıcı;Turquía;-;27/09/2005
Mediocentro;Alper Efe Pazar;Turquía;-;08/02/2005
Mediocentro ofensivo;Carlo Holse;Dinamarca;21;02/06/1999
Mediocentro ofensivo;Afonso Sousa;Portugal;77;03/05/2000
Extremo izquierdo;Jaurès Assoumou ;Costa de Marfil;47;17/10/2002
Extremo izquierdo;Tahsin Bülbül;Turquía;16;09/06/2006
Extremo izquierdo;Saikuba Jarju;Gambia;30;09/12/2007
Extremo derecho;Elayis Tavsan;Turquía;7;30/04/2001
Extremo derecho;Emre Kılınç;Turquía;11;23/08/1994
Extremo derecho;Tanguy Coulibaly;Francia;70;18/02/2001
Delantero centro;Cherif Ndiaye;Senegal;19;23/01/1996
Delantero centro;Marius Mouandilmadji;Chad;9;22/01/1998
Delantero centro;Ebrima Ceesay;Gambia;99;01/06/2006
