pos;name;pais;num;edad
Portero;André Onana;Camerún;24;02/04/1996
Portero;Onuralp Çevikkan;Turquía;25;02/01/2006
Portero;Ahmet Yıldırım;Turquía;88;01/11/2006
Portero;Erol Can Çolak;Turquía;96;02/01/2006
Defensa central;Arseniy Batagov;Ucrania;44;05/03/2002
Defensa central;Chibuike Nwaiwu ;Nigeria;27;23/07/2003
Defensa central;Stefan Savic ;Montenegro;15;08/01/1991
Defensa central;Arda Öztürk;Turquía;21;10/03/2007
Defensa central;Taha Emre İnce;Turquía;92;26/07/2007
Lateral izquierdo;Mathias Løvik ;Noruega;14;06/12/2003
Lateral izquierdo;Mustafa Eskihellaç;Turquía;19;05/05/1997
Lateral derecho;Wagner Pina;Cabo Verde;20;03/11/2002
Pivote;Okay Yokuşlu ;Turquía;5;09/03/1994
Pivote;Salih Malkoçoğlu;Turquía;74;23/02/2005
Mediocentro;Christ Inao Oulaï;Costa de Marfil;42;06/04/2006
Mediocentro;Tim Jabol-Folcarelli ;Francia;26;06/12/1999
Mediocentro;Benjamin Bouchouari ;Marruecos;8;13/11/2001
Mediocentro;Ozan Tufan;Turquía;11;23/03/1995
Mediocentro;Boran Başkan ;Turquía;80;29/03/2006
Mediocentro ofensivo;Ernest Muci;Albania;10;19/03/2001
Extremo izquierdo;Anthony Nwakaeme;Nigeria;9;21/03/1989
Extremo derecho;Oleksandr Zubkov;Ucrania;22;03/08/1996
Extremo derecho;Edin Visca   ;Bosnia y Herzegovina;7;17/02/1990
Delantero centro;Felipe Augusto;Brasil;99;18/02/2004
Delantero centro;Paul Onuachu;Nigeria;30;28/05/1994
Delantero centro;Umut Nayir;Turquía;18;28/06/1993
