pos;name;pais;num;edad
Portero;Peter Vindahl ;Dinamarca;1;16/02/1998
Portero;Jakub Surovcik;Eslovaquia;44;28/06/2002
Portero;Daniel Kerl;República Checa;61;14/01/2001
Defensa central;Emmanuel Uchenna ;Nigeria;16;04/12/2003
Defensa central;Adam Sevinsky;República Checa;19;19/06/2004
Defensa central;Asger Sörensen ;Dinamarca;25;05/06/1996
Defensa central;Filip Panák;República Checa;27;02/11/1995
Defensa central;Elias Cobbaut ;Bélgica;33;24/11/1997
Defensa central;Jakub Martinec;República Checa;4;13/03/1998
Defensa central;Jaroslav Zelený ;República Checa;30;20/08/1992
Lateral izquierdo;Jhoanner Chávez  ;Ecuador;14;25/04/2002
Lateral derecho;Oliver Sonne;Perú;17;10/11/2000
Pivote;Sivert Mannsverk;Noruega;20;08/05/2002
Pivote;Patrik Vydra;República Checa;26;20/06/2003
Mediocentro;Kaan Kairinen;Finlandia;6;22/12/1998
Mediocentro;Andrew Irving;Escocia;18;13/05/2000
Mediocentro;Magnus Kofod Andersen ;Dinamarca;8;10/05/1999
Interior derecho;Pavel Kaderabek;República Checa;3;25/04/1992
Interior izquierdo;Matej Rynes;República Checa;11;30/05/2001
Mediocentro ofensivo;Santiago Eneme ;Guinea Ecuatorial;5;29/09/2000
Extremo izquierdo;Lukas Haraslin ;Eslovaquia;22;26/05/1996
Extremo izquierdo;John Mercado;Ecuador;7;03/06/2002
Extremo izquierdo;Garang Kuol;Australia;36;15/09/2004
Extremo izquierdo;Ondrej Penxa ;República Checa;52;23/03/2007
Extremo izquierdo;Joao Grimaldo;Perú;21;20/02/2003
Delantero centro;Albion Rrahmani;Kosovo;9;31/08/2000
Delantero centro;Jan Kuchta;República Checa;10;08/01/1997
Delantero centro;Matyas Vojta ;República Checa;29;26/02/2004
