pos;name;pais;num;edad
Portero;Thomas Strakosha;Albania;1;19/03/1995
Portero;Alberto Brignoli;Italia;91;19/08/1991
Portero;Angelos Angelopoulos;Grecia;81;19/02/2003
Portero;Marios Balamotis;Grecia;41;06/05/2005
Defensa central;Harold Moukoudi;Camerún;2;27/11/1997
Defensa central;Filipe Relvas;Portugal;44;20/09/1999
Defensa central;Martin Georgiev;Bulgaria;15;24/09/2005
Defensa central;Domagoj Vida;Croacia;21;29/04/1989
Defensa central;Alexander Callens  ;Perú;22;04/05/1992
Defensa central;Christos Kosidis;Grecia;34;28/02/2005
Lateral izquierdo;James Penrice;Escocia;29;22/12/1998
Lateral izquierdo;Stavros Pilios;Grecia;3;10/12/2000
Lateral derecho;Lazaros Rota;Grecia;12;23/08/1997
Pivote;Marko Grujić;Serbia;4;13/04/1996
Pivote;Hakim Sahabo;Ruanda;80;16/06/2005
Pivote;Jens Jönsson  ;Dinamarca;6;10/01/1993
Mediocentro;Orbelín Pineda;México;13;24/03/1996
Mediocentro;Răzvan Marin;Rumania;18;23/05/1996
Mediocentro;Robert Ljubicic;Croacia;23;14/07/1999
Mediocentro;Roberto Pereyra;Argentina;37;07/01/1991
Interior derecho;Niclas Eliasson;Suecia;19;07/12/1995
Mediocentro ofensivo;Mijat Gacinovic;Serbia;8;08/02/1995
Mediocentro ofensivo;João Mário;Portugal;10;19/01/1993
Mediocentro ofensivo;Dimitrios Kaloskamis;Grecia;17;01/03/2005
Mediocentro ofensivo;Petros Mantalos ;Grecia;20;31/08/1991
Extremo izquierdo;Aboubakary Koita;Mauritania;11;20/09/1998
Extremo izquierdo;Dereck Kutesa;Suiza;7;06/12/1997
Delantero centro;Luka Jović;Serbia;9;23/12/1997
Delantero centro;Barnabás Varga;Hungría;25;25/10/1994
Delantero centro;Zini;Angola;90;03/07/2002
