pos;name;pais;num;edad
Portero;Jonas Wendlinger;Austria;1;17/07/2000
Portero;Tristan Kuijsten;Países Bajos;12;16/01/2005
Portero;Joël van der Wilt;Países Bajos;30;27/02/2004
Defensa central;Emmanuel van de Blaak;Países Bajos;22;15/02/2005
Defensa central;Joey Jacobs;Países Bajos;3;10/04/2000
Defensa central;James Lawrence ;Gales;4;22/08/1992
Defensa central;Misha Engel;Países Bajos;15;01/10/2002
Defensa central;Jaden Pinas;Países Bajos;27;28/12/2003
Lateral izquierdo;Niko Takahashi;Japón;16;17/08/2005
Lateral izquierdo;Teun Bijleveld;Países Bajos;5;27/05/1998
Lateral izquierdo;Twan van der Zeeuw;Países Bajos;26;21/09/2002
Lateral derecho;Boyd Reith;Países Bajos;2;05/05/1999
Lateral derecho;Amoah Sam;Países Bajos;25;29/09/2002
Lateral derecho;Tiziano Vianello;Países Bajos;32;29/01/2005
Pivote;Job Kalisvaart;Países Bajos;20;10/06/2004
Pivote;Enzo Cornelisse;Países Bajos;6;29/06/2002
Pivote;Guus Beaumont;Países Bajos;24;10/05/2002
Mediocentro;Milan de Haan;Países Bajos;8;20/11/2003
Mediocentro;Jamie Jacobs;Países Bajos;23;03/12/1997
Mediocentro;Hamza el Dahri;Países Bajos;21;05/03/2005
Mediocentro ofensivo;Olivier de Nijs;Países Bajos;19;09/11/2004
Extremo izquierdo;Ruben Providence;Haití;28;07/07/2001
Extremo derecho;Byron Burgering;Países Bajos;7;28/11/2000
Extremo derecho;Emmanuel Poku;Países Bajos;17;19/07/2005
Delantero centro;Julian Rijkhoff;Países Bajos;10;25/01/2005
Delantero centro;Ferdy Druijf;Países Bajos;9;12/02/1998
Delantero centro;Bas Huisman;Países Bajos;29;09/05/2005
