pos;name;pais;num;edad
Portero;Gabriel Pereira;Brasil;1;02/07/2002
Portero;Vid Belec;Eslovenia;27;06/06/1990
Portero;Andreas Christodoulou;Chipre;22;26/03/1997
Portero;Savvas Michos;Chipre;78;03/12/2007
Defensa central;Konstantinos Laifis ;Chipre;34;19/05/1993
Defensa central;Franz Brorsson;Suecia;31;30/01/1996
Defensa central;Milos Degenek;Australia;5;28/04/1994
Defensa central;Evagoras Antoniou;Chipre;2;04/11/2002
Defensa central;Cipriano;Brasil;-;09/11/2002
Defensa central;Konstantinos Giannakou;Chipre;45;25/04/2005
Lateral izquierdo;Konstantinos Stafylidis ;Grecia;3;02/12/1993
Lateral izquierdo;Vitor Meer;Brasil;6;21/06/2004
Lateral izquierdo;Andreas Angelidis;Chipre;-;24/06/2007
Lateral derecho;Nanu;Guinea-Bissau;14;17/05/1994
Lateral derecho;Konstantinos Poursaitidis;Chipre;21;24/01/2006
Pivote;Diego Rosa;Brasil;29;12/10/2002
Mediocentro;Max Meyer;Alemania;7;18/09/1995
Mediocentro;Dálcio;Guinea-Bissau;20;22/05/1996
Mediocentro;David Abagna;Ghana;17;09/09/1998
Mediocentro;Geovane Meurer;Brasil;38;25/05/2002
Mediocentro ofensivo;Mathías Tomás;Uruguay;15;30/01/2001
Mediocentro ofensivo;Panagiotis Kattirtzis ;Chipre;23;12/04/2006
Mediocentro ofensivo;Christos Karanatsios;Grecia;25;04/02/2004
Extremo izquierdo;Peter Olayinka;Nigeria;99;16/11/1995
Extremo izquierdo;Marquinhos;Brasil;10;26/01/1997
Extremo derecho;Daniel Mancini;Argentina;77;11/11/1996
Extremo derecho;Gabriel Maioli ;Brasil;11;02/02/2003
Extremo derecho;Charles Yaw Appiah;Ghana;36;23/01/2006
Delantero centro;Pieros Sotiriou ;Chipre;79;13/01/1993
Delantero centro;Nikolas Koutsakos;Chipre;89;14/11/2003
Delantero centro;Dimitrios Diamantakos ;Grecia;18;05/03/1993
Delantero centro;Stefan Drazic;Serbia;9;14/08/1992
Delantero centro;Pedro Ataíde;Brasil;39;28/06/2005
