pos;name;pais;num;edad
Portero;Joan García;España;13;04/05/2001
Portero;Wojciech Szczęsny;Polonia;25;18/04/1990
Portero;Diego Kochen;Estados Unidos;31;19/03/2006
Defensa central;Pau Cubarsí;España;5;22/01/2007
Defensa central;Eric García;España;24;09/01/2001
Defensa central;Ronald Araujo;Uruguay;4;07/03/1999
Defensa central;Andreas Christensen ;Dinamarca;15;10/04/1996
Lateral izquierdo;Alejandro Balde;España;3;18/10/2003
Lateral izquierdo;Gerard Martín;España;18;26/02/2002
Lateral derecho;Jules Koundé;Francia;23;12/11/1998
Lateral derecho;João Cancelo;Portugal;2;27/05/1994
Pivote;Marc Casadó;España;17;14/09/2003
Pivote;Marc Bernal;España;22;26/05/2007
Mediocentro;Pedri;España;8;25/11/2002
Mediocentro;Frenkie de Jong;Países Bajos;21;12/05/1997
Mediocentro;Gavi ;España;6;05/08/2004
Mediocentro ofensivo;Fermín López;España;16;11/05/2003
Mediocentro ofensivo;Dani Olmo;España;20;07/05/1998
Extremo izquierdo;Raphinha;Brasil;11;14/12/1996
Extremo izquierdo;Marcus Rashford;Inglaterra;14;31/10/1997
Extremo derecho;Lamine Yamal;España;10;13/07/2007
Extremo derecho;Roony Bardghji;Suecia;19;15/11/2005
Delantero centro;Ferran Torres;España;7;29/02/2000
Delantero centro;Robert Lewandowski;Polonia;9;21/08/1988
