pos;name;pais;num;edad
Portero;Filip Manojlovic;Serbia;45;25/04/1996
Portero;Jacob Rinne;Suecia;35;20/06/1993
Portero;Malkolm Nilsson Säfqvist ;Suecia;30;03/08/1993
Portero;Max Croon;Suecia;-;26/11/2005
Defensa central;Miro Tenho;Finlandia;5;02/04/1995
Defensa central;Jacob Une ;Suecia;4;08/04/1994
Defensa central;Leon Hien;Suecia;-;31/07/2001
Defensa central;Mikael Marqués;Suecia;21;08/09/2001
Lateral izquierdo;Max Larsson;Suecia;-;07/07/2003
Lateral derecho;Adam Ståhl;Finlandia;18;08/10/1994
Lateral derecho;Piotr Johansson;Suecia;2;28/02/1995
Pivote;Daniel Stensson;Suecia;13;24/03/1997
Pivote;Hampus Finndell;Suecia;14;06/06/2000
Mediocentro;Matias Siltanen;Finlandia;20;29/03/2007
Mediocentro;Mikael Anderson;Islandia;17;01/07/1998
Mediocentro;Patric Åslund;Suecia;22;01/08/2002
Mediocentro;Peter Langhoff;Dinamarca;6;09/01/2004
Extremo izquierdo;Jeppe Okkels;Dinamarca;19;27/07/1999
Extremo derecho;Nino Zugelj;Eslovenia;23;23/05/2000
Extremo derecho;Santeri Haarala;Finlandia;-;17/12/1999
Extremo derecho;Oskar Fallenius;Suecia;15;01/11/2001
Extremo derecho;Ahmed Saeed;Suecia;-;22/04/2008
Delantero centro;Bo Hegland;Noruega;16;18/06/2004
Delantero centro;Kristian Strømland Lien;Noruega;9;30/09/2001
Delantero centro;Kalipha Jawla;Suecia;-;11/04/2006
