pos;name;pais;num;edad
Portero;Matheus;Brasil;1;29/03/1992
Portero;Omri Glazer;Israel;18;11/03/1996
Portero;Ivan Gutesa;Serbia;77;04/04/2002
Portero;Savo Radanovic;Serbia;50;28/02/2009
Portero;Vuk Draskic;Serbia;28;11/05/2007
Defensa central;Strahinja Erakovic;Serbia;25;22/01/2001
Defensa central;Rodrigão;Brasil;5;11/09/1995
Defensa central;Milos Veljkovic;Serbia;13;26/09/1995
Defensa central;Franklin Tebo Uchenna;Nigeria;30;15/01/2000
Defensa central;Stefan Gudelj;Bosnia y Herzegovina;45;18/05/2006
Lateral izquierdo;Nair Tiknizyan;Armenia;23;12/05/1999
Lateral izquierdo;Adem Avdic;Serbia;71;24/09/2007
Lateral derecho;Young-woo Seol;Corea del Sur;66;05/12/1998
Lateral derecho;Nikola Stankovic;Serbia;24;24/04/2003
Pivote;Tomás Händel;Portugal;20;27/11/2000
Pivote;Rade Krunic;Bosnia y Herzegovina;33;07/10/1993
Pivote;Mahmudu Bajo;Gambia;6;15/08/2004
Mediocentro;Timi Max Elsnik;Eslovenia;21;29/04/1998
Mediocentro ofensivo;Vasilije Kostov;Serbia;22;11/05/2008
Mediocentro ofensivo;Mirko Ivanic ;Montenegro;4;13/09/1993
Mediocentro ofensivo;Aleksandar Katai;Serbia;10;06/02/1991
Extremo izquierdo;Nemanja Radonjic;Serbia;49;15/02/1996
Extremo izquierdo;Vladimir Lucic;Serbia;37;28/06/2002
Extremo derecho;Luka Zaric;Serbia;40;31/10/2008
Extremo derecho;Douglas Owusu;Ghana;35;10/04/2006
Delantero centro;Bruno Duarte;Brasil;17;24/03/1996
Delantero centro;Marko Arnautovic;Austria;89;19/04/1989
Delantero centro;Jay Enem;Países Bajos;42;11/03/2003
Delantero centro;Aleksa Damjanovic;Serbia;19;04/12/2008
