pos;name;pais;num;edad
Portero;Mukhammedzhan Seysen;Kazajistán;74;14/02/1999
Portero;Josip Condric;Croacia;93;27/08/1993
Portero;Danila Karpikov;Kazajistán;99;15/10/2003
Defensa central;Branimir Kalaica;Croacia;3;01/06/1998
Defensa central;Kipras Kažukolovas;Lituania;5;20/11/2000
Defensa central;Sanzhar Anuarov;Kazajistán;71;16/02/2005
Lateral izquierdo;Yan Vorogovskiy;Kazajistán;6;07/08/1996
Lateral derecho;Karlo Bartolec;Croacia;2;20/04/1995
Lateral derecho;Abzal Beysebekov ;Kazajistán;15;30/11/1992
Mediocentro;Ivan Basic;Bosnia y Herzegovina;8;30/04/2002
Extremo derecho;Marin Tomasov;Croacia;10;31/08/1987
Extremo derecho;Nurali Zhaksylyk;Kazajistán;14;04/11/2004
Extremo derecho;Stanislav Basmanov;Kazajistán;72;24/06/2001
Delantero centro;Ramazan Karimov;Kazajistán;81;05/07/1999
Delantero centro;Nnamdi Ahanonu;Nigeria;20;22/02/2002
