pos;name;pais;num;edad
Portero;Ruslan Neshcheret;Ucrania;35;22/01/2002
Portero;Valentyn Morgun;Ucrania;51;10/08/2001
Portero;Denys Ignatenko;Ucrania;74;11/01/2003
Defensa central;Taras Mykhavko;Ucrania;32;30/05/2005
Defensa central;Denys Popov;Ucrania;4;17/02/1999
Defensa central;Aliou Thiaré;Senegal;66;20/12/2003
Defensa central;Kristian Bilovar;Ucrania;40;05/02/2001
Defensa central;Vladyslav Zakharchenko;Ucrania;34;16/06/2006
Lateral izquierdo;Vladyslav Dubinchak ;Ucrania;44;01/07/1998
Lateral izquierdo;Kostyantyn Vivcharenko;Ucrania;2;10/06/2002
Lateral derecho;Oleksandr Tymchyk;Ucrania;18;20/01/1997
Lateral derecho;Oleksandr Karavaev;Ucrania;20;02/06/1992
Lateral derecho;Maksym Korobov;Ucrania;13;06/03/2006
Pivote;Volodymyr Brazhko;Ucrania;6;23/01/2002
Pivote;Mykola Mykhaylenko;Ucrania;91;22/05/2001
Mediocentro;Mykola Shaparenko;Ucrania;10;04/10/1998
Mediocentro;Oleksandr Pikhalyonok;Ucrania;8;07/05/1997
Mediocentro;Oleksandr Yatsyk;Ucrania;5;03/01/2003
Mediocentro;Valentyn Rubchynskyi;Ucrania;15;15/02/2002
Mediocentro ofensivo;Vitaliy Buyalskyi ;Ucrania;29;06/01/1993
Extremo izquierdo;Vladyslav Kabaev ;Ucrania;22;01/09/1995
Extremo izquierdo;Shola Ogundana;Nigeria;16;22/02/2005
Extremo izquierdo;Bogdan Redushko;Ucrania;70;07/01/2007
Extremo izquierdo;Samba Diallo;Senegal;30;05/01/2003
Extremo derecho;Nazar Voloshyn;Ucrania;9;17/06/2003
Extremo derecho;Andriy Yarmolenko;Ucrania;7;23/10/1989
Delantero centro;Eduardo Guerrero;Panamá;39;21/02/2000
Delantero centro;Vladislav Blănuță;Rumania;77;12/01/2002
Delantero centro;Matviy Ponomarenko;Ucrania;11;11/01/2006
