pos;name;pais;num;edad
Portero;Ivan Dyulgerov ;Bulgaria;21;15/07/1999
Portero;Emil Timbur;Moldavia;1;21/07/1997
Portero;Nicolae Cebotari;Moldavia;28;24/05/1997
Portero;Serghei Obiscalov;Moldavia;25;19/07/2006
Defensa;Riis Opoku Twumasi;Ghana;20;25/01/2006
Defensa central;Soumaila Magassouba;Malí;29;28/06/2004
Defensa central;Bourama Fomba;Malí;35;10/07/1999
Defensa central;Alesio Mija;Albania;44;20/06/2001
Defensa central;Baye Assane Ciss;Senegal;45;10/10/2003
Defensa central;Natus Jamel Swen;Liberia;4;18/11/2004
Defensa central;Artiom Dijinari;Moldavia;-;26/10/2005
Lateral izquierdo;Raí;Brasil;6;28/03/2000
Lateral izquierdo;Eguedegue Magloire;Camerún;-;03/01/2006
Lateral derecho;Mahmoud Ghorbel;Túnez;7;31/12/2003
Lateral derecho;Atila;Brasil;2;24/02/2002
Pivote;Peter Ademo;Nigeria;69;11/01/2003
Pivote;Liam Hermesh;Israel;3;12/03/2004
Pivote;Ibrahima Soumah;Guinea;8;12/09/2003
Mediocentro;Dhoraso Klas;Surinam;26;30/01/2001
Mediocentro;Mihail Corotcov;Moldavia;33;24/07/2008
Mediocentro;Emmanuel Afetse;Ghana;32;09/03/2007
Mediocentro ofensivo;Daniel Danu;Moldavia;16;26/08/2002
Mediocentro ofensivo;Vsevolod Nihaev;Moldavia;17;04/05/1999
Extremo derecho;Mollo Bessala;Camerún;22;10/10/2003
Extremo derecho;Zé Flores;Brasil;10;20/05/1999
Extremo derecho;Sapata;Brasil;11;26/03/2003
Extremo derecho;Danila Forov;Moldavia;24;07/01/2004
Extremo derecho;Loukou Jaures-Ulrich;Costa de Marfil;42;15/06/2005
Extremo derecho;Veaceslav Cozma;Moldavia;27;01/03/2005
Delantero centro;Jayder Asprilla;Colombia;19;20/03/2003
Delantero centro;Qays Ghanem;Israel;14;31/12/1997
