pos;name;pais;num;edad
Portero;Ștefan Târnovanu;Rumania;32;09/05/2000
Portero;Lukas Zima;República Checa;38;09/01/1994
Portero;Mihai Udrea;Rumania;34;20/07/2001
Portero;Matei Popa;Rumania;13;29/04/2007
Defensa central;Siyabonga Ngezana ;Sudáfrica;30;15/07/1997
Defensa central;Joyskim Dawa;Camerún;5;09/04/1996
Defensa central;André Duarte;Portugal;3;12/09/1997
Defensa central;Mihai Popescu ;Rumania;17;07/05/1993
Defensa central;Daniel Graovac;Bosnia y Herzegovina;4;08/08/1993
Defensa central;Andrei Dăncuș;Rumania;6;20/01/2009
Lateral izquierdo;Risto Radunovic;Montenegro;33;04/05/1992
Lateral izquierdo;David Kiki;Benín;12;25/11/1993
Lateral derecho;Alexandru Pantea;Rumania;28;11/09/2003
Lateral derecho;Ionuț Cercel ;Rumania;23;14/11/2006
Lateral derecho;Valentin Crețu;Rumania;2;02/01/1989
Pivote;Ofri Arad;Israel;15;11/09/1998
Pivote;Baba Alhassan;Uganda;42;03/01/2000
Pivote;João Paulo;Cabo Verde;18;26/05/1998
Pivote;Vlad Chiricheș ;Rumania;21;14/11/1989
Mediocentro;Mihai Lixandru;Rumania;16;05/06/2001
Mediocentro;Juri Cisotti;Italia;31;05/05/1993
Mediocentro ofensivo;Darius Olaru ;Rumania;27;03/03/1998
Mediocentro ofensivo;Florin Tănase;Rumania;10;30/12/1994
Extremo izquierdo;Octavian Popescu;Rumania;37;27/12/2002
Extremo izquierdo;Mihai Toma;Rumania;22;17/02/2007
Extremo derecho;David Miculescu;Rumania;11;02/05/2001
Extremo derecho;David Popa;Rumania;98;13/03/2007
Delantero centro;Daniel Bîrligea;Rumania;9;19/04/2000
Delantero centro;Mamadou Thiam;Senegal;93;20/03/1995
Delantero centro;Alexandru Stoian;Rumania;90;15/12/2007
