pos;name;pais;num;edad
Portero;Dénes Dibusz ;Hungría;90;16/11/1990
Portero;Ádám Varga;Hungría;1;12/02/1999
Portero;Dániel Radnóti;Hungría;63;01/10/2006
Portero;Dávid Gróf;Hungría;99;17/04/1989
Portero;Gergő Szécsi;Hungría;29;07/02/1989
Defensa central;Ibrahim Cissé;Francia;27;02/05/1996
Defensa central;Stefan Gartenmann ;Suiza;3;02/02/1997
Defensa central;Toon Raemaekers;Bélgica;28;09/09/2000
Defensa central;Mariano Gómez;Argentina;4;05/02/1999
Defensa central;Gábor Szalai;Hungría;22;09/06/2000
Defensa central;Ismaïl Aaneba;Francia;44;29/05/1999
Defensa central;Csongor Lakatos;Hungría;71;29/03/2006
Lateral izquierdo;Barnabás Nagy;Hungría;77;05/09/2000
Lateral derecho;Cebrail Makreckis;Letonia;25;10/05/2000
Lateral derecho;Attila Osváth;Hungría;14;10/12/1995
Lateral derecho;Endre Botka;Hungría;21;25/08/1994
Pivote;Habib Maïga;Costa de Marfil;80;01/01/1996
Pivote;Bence Ötvös;Hungría;23;13/03/1998
Pivote;Júlio Romão;Brasil;66;29/03/1998
Mediocentro;Mohammed Abu Fani;Israel;15;27/04/1998
Mediocentro;Naby Keïta;Guinea;5;10/02/1995
Mediocentro;Philippe Rommens;Bélgica;88;20/08/1997
Mediocentro;Ádám Madarász;Hungría;72;16/02/2007
Interior derecho;Cadu;Brasil;20;08/08/1997
Interior izquierdo;Callum O'Dowda;Irlanda;47;23/04/1995
Mediocentro ofensivo;Gabi Kanichowsky;Israel;36;24/08/1997
Mediocentro ofensivo;Kristoffer Zachariassen;Noruega;16;27/01/1994
Mediocentro ofensivo;Krisztián Lisztes;Hungría;76;06/05/2005
Mediocentro ofensivo;Marius Corbu;Rumania;17;07/05/2002
Extremo izquierdo;Elton Acolatse;Países Bajos;7;25/07/1995
Extremo derecho;Bamidele Yusuf;Nigeria;11;22/02/2001
Extremo derecho;Jonathan Levi;Suecia;10;23/01/1996
Delantero centro;Franko Kovacevic;Croacia;19;08/08/1999
Delantero centro;Zsombor Gruber;Hungría;30;07/09/2004
Delantero centro;Lenny Joseph;Francia;75;12/10/2000
Delantero centro;Aleksandar Pesic;Serbia;8;21/05/1992
Delantero centro;Fortune Bassey;Nigeria;40;06/10/1998
Delantero centro;Benjámin Gólik;Hungría;62;19/01/2008
