pos;name;pais;num;edad
Portero;Nikita Haikin;Rusia;12;11/07/1995
Portero;Julian Faye Lund;Noruega;1;20/05/1999
Portero;Isak Sjong;Noruega;45;08/01/2007
Defensa central;Odin Bjørtuft;Noruega;4;19/12/1998
Defensa central;Villads Nielsen;Dinamarca;2;29/01/2005
Defensa central;Jostein Gundersen;Noruega;6;02/04/1996
Defensa central;Haitam Aleesami;Noruega;5;31/07/1991
Lateral izquierdo;Fredrik Bjørkan;Noruega;15;21/08/1998
Lateral derecho;Fredrik Sjøvold;Noruega;20;17/08/2003
Pivote;Patrick Berg ;Noruega;7;24/11/1997
Mediocentro;Håkon Evjen;Noruega;26;14/02/2000
Mediocentro;Sondre Auklend;Noruega;8;10/06/2003
Mediocentro;Magnus Riisnæs;Noruega;23;04/11/2004
Mediocentro;Anders Klynge;Dinamarca;22;14/10/2000
Mediocentro;Sondre Brunstad Fet;Noruega;19;17/01/1997
Mediocentro;Ulrik Saltnes ;Noruega;14;10/11/1992
Extremo izquierdo;Jens Petter Hauge;Noruega;10;12/10/1999
Extremo izquierdo;Daniel Bassi;Noruega;24;31/10/2004
Extremo izquierdo;Gift Sunday;Nigeria;-;14/03/2006
Extremo derecho;Ole Didrik Blomberg;Noruega;11;12/06/2000
Extremo derecho;Isak Dybvik Määttä;Noruega;25;19/09/2001
Mediapunta;August Mikkelsen;Noruega;94;24/10/2000
Delantero centro;Kasper Høgh;Dinamarca;9;06/12/2000
Delantero centro;Andreas Helmersen;Noruega;21;15/03/1998
Delantero centro;Mikkel Bro Hansen;Dinamarca;77;25/01/2009
