pos;name;pais;num;edad
Portero;Dominik Livakovic;Croacia;40;09/01/1995
Portero;Ivan Nevistic;Croacia;33;31/07/1998
Portero;Ivan Filipovic;Croacia;44;13/11/1994
Portero;Antonio Rajic;Croacia;88;04/03/2007
Portero;Danijel Zagorac;Croacia;1;07/02/1987
Defensa central;Scott McKenna;Escocia;26;12/11/1996
Defensa central;Raúl Torrente;España;16;11/09/2001
Defensa central;Niko Galesic;Croacia;15;26/03/2001
Defensa central;Sergi Domínguez;España;36;01/04/2005
Defensa central;Kévin Théophile-Catherine;Martinica;28;28/10/1989
Defensa central;Dino Peric;Croacia;55;12/07/1994
Defensa central;Matija Ruskovacki;Croacia;-;24/05/2005
Lateral izquierdo;Matteo Pérez Vinlöf;Suecia;22;18/12/2005
Lateral izquierdo;Bruno Goda;Croacia;3;17/04/1998
Lateral derecho;Ronaël Pierre-Gabriel;Francia;18;13/06/1998
Lateral derecho;Moris Valincic;Croacia;25;17/11/2002
Lateral derecho;Noa Mikic;Croacia;35;27/01/2007
Lateral derecho;Paul Tabinas;Filipinas;13;05/07/2002
Pivote;Ismaël Bennacer ;Argelia;4;01/12/1997
Pivote;Marko Soldo;Croacia;14;22/11/2003
Pivote;Josip Misic;Croacia;27;28/06/1994
Mediocentro;Miha Zajc;Eslovenia;8;01/07/1994
Mediocentro ofensivo;Luka Stojkovic;Croacia;7;28/10/2003
Extremo izquierdo;Gabriel Vidovic;Croacia;10;01/12/2003
Extremo izquierdo;Arbër Hoxha;Albania;11;06/10/1998
Extremo izquierdo;Cardoso Varela;Portugal;23;29/10/2008
Extremo derecho;Mateo Lisica;Croacia;21;09/07/2003
Extremo derecho;Fran Topic;Croacia;30;20/03/2004
Extremo derecho;Juan Córdoba;Colombia;70;11/07/2003
Delantero centro;Dion Beljo;Croacia;9;01/03/2002
Delantero centro;Monsef Bakrar;Argelia;71;13/01/2001
