pos;name;pais;num;edad
Portero;Niv Eliasi;Israel;55;21/02/2002
Portero;Ofir Marciano;Israel;1;07/10/1989
Portero;Yonatan Shani;Israel;36;16/06/2006
Defensa central;Or Blorian;Israel;5;07/03/2000
Defensa central;Matan Baltaxa;Israel;3;20/09/1995
Defensa central;Djibril Diop;Senegal;44;06/01/1999
Defensa central;Miguel Vítor ;Israel;4;30/06/1989
Lateral izquierdo;Hélder Lopes;Portugal;22;04/01/1989
Lateral izquierdo;Ofir Davidzada;Israel;13;05/05/1991
Lateral derecho;Guy Mizrahi;Israel;2;30/03/2001
Pivote;Lucas Ventura;Brasil;25;19/05/1998
Pivote;Shai Elias;Israel;19;25/02/1999
Mediocentro;Kings Kangwa;Zambia;17;06/04/1999
Mediocentro;Eliel Peretz;Israel;7;18/11/1996
Interior derecho;Roy Levy;Israel;18;13/01/2000
Mediocentro ofensivo;Hamode Kanaan ;Israel;8;14/01/2000
Mediocentro ofensivo;Yoan Stoyanov;Bulgaria;27;22/05/2001
Mediocentro ofensivo;Itay Hazut;Israel;23;20/09/2006
Extremo izquierdo;Amir Ganah;Israel;11;09/07/2004
Extremo derecho;Dan Biton;Israel;10;20/07/1995
Extremo derecho;Javon East;Jamaica;14;22/03/1995
Extremo derecho;Muhammad Abu Rumi;Israel;45;23/04/2004
Mediapunta;Zahi Ahmed;Israel;9;12/08/2001
Delantero centro;Igor Zlatanovic;Serbia;66;10/02/1998
Delantero centro;Samir Farhud ;Israel;70;09/12/2000
