pos;name;pais;num;edad
Portero;Slawomir Abramowicz;Polonia;50;09/06/2004
Portero;Milosz Piekutowski;Polonia;22;08/05/2006
Portero;Adrian Damasiewicz;Polonia;66;09/09/2008
Portero;Jakub Rabiczko;Polonia;67;21/02/2008
Defensa central;Bernardo Vital;Portugal;13;29/12/2000
Defensa central;Andy Pelmard;Madagascar;70;12/03/2000
Defensa central;Dusan Stojinovic;Eslovenia;3;26/08/2000
Defensa central;Apostolos Konstantopoulos;Grecia;44;02/08/2002
Defensa central;Yuki Kobayashi;Japón;4;18/07/2000
Defensa central;Bartlomiej Krasiewicz;Polonia;53;26/11/2005
Lateral izquierdo;Bartlomiej Wdowik;Polonia;27;25/09/2000
Lateral izquierdo;Guilherme Montóia;Portugal;23;14/09/2003
Lateral derecho;Norbert Wojtuszek;Polonia;15;05/10/2001
Pivote;Sergio Lozano;España;21;24/03/1999
Pivote;Leon Flach;Estados Unidos;31;28/02/2001
Pivote;Taras Romanczuk ;Polonia;6;14/11/1991
Pivote;Eryk Kozlowski;Polonia;85;27/09/2006
Mediocentro ofensivo;Dawid Drachal;Polonia;8;31/01/2005
Mediocentro ofensivo;Bartosz Mazurek;Polonia;86;03/01/2007
Mediocentro ofensivo;Jesús Imaz;España;11;26/09/1990
Extremo izquierdo;Matías Nahuel;España;19;22/11/1996
Extremo izquierdo;Kamil Jóźwiak;Polonia;72;22/04/1998
Extremo izquierdo;Kajetan Szmyt;Polonia;77;29/05/2002
Extremo derecho;Álex Pozo;España;7;22/02/1999
Extremo derecho;Zachary Zalewski;Polonia;80;03/01/2009
Extremo derecho;Maciej Kuczyński;Polonia;90;01/02/2007
Delantero centro;Afimico Pululu;RD del Congo;10;23/03/1999
Delantero centro;Samed Bazdar;Bosnia y Herzegovina;14;31/01/2004
Delantero centro;Dimitris Rallis;Grecia;9;26/03/2005
Delantero centro;Youssuf Sylla;Bélgica;17;19/12/2002
