pos;name;pais;num;edad
Portero;Lukas Jungwirth;Austria;1;30/04/2004
Portero;Tobias Schützenauer;Austria;33;19/05/1997
Portero;Fabian Schillinger;Austria;50;24/05/2007
Defensa central;Modou Kéba Cissé;Senegal;48;04/08/2005
Defensa central;Andrés Andrade;Panamá;16;16/10/1998
Defensa central;João Tornich;Brasil;43;06/11/2002
Defensa central;Xavier Mbuyamba;Países Bajos;3;31/12/2001
Lateral izquierdo;George Bello;Estados Unidos;2;22/01/2002
Lateral izquierdo;Emmanuel Michael;Nigeria;41;16/06/2006
Lateral derecho;Kasper Jørgensen;Dinamarca;20;07/11/1999
Pivote;Melayro Bogarde;Surinam;6;28/05/2002
Pivote;Art Smakaj ;Kosovo;5;04/02/2003
Pivote;Adetunji Rasaq Adeshina;Nigeria;13;02/12/2004
Mediocentro;Sascha Horvath ;Austria;30;22/08/1996
Mediocentro;Ismaila Coulibaly;Malí;4;25/12/2000
Mediocentro;Mohamed Sanogo;Malí;15;02/11/2003
Interior derecho;Florian Flecker;Austria;29;29/10/1995
Mediocentro ofensivo;Krystof Danek;República Checa;9;05/01/2003
Mediocentro ofensivo;Christoph Lang;Austria;27;07/01/2002
Mediocentro ofensivo;Lukas Kacavenda;Croacia;44;02/03/2003
Mediocentro ofensivo;Armin Haider;Austria;38;05/09/2005
Delantero centro;Moses Usor;Nigeria;8;05/02/2002
Delantero centro;Sasa Kalajdzic;Austria;10;07/07/1997
Delantero centro;Samuel Adeniran;Estados Unidos;7;30/09/1998
Delantero centro;Maximilian Entrup;Austria;11;25/07/1997
