pos;name;pais;num;edad
Portero;Bartosz Mrozek;Polonia;41;23/02/2000
Portero;Plamen Andreev;Bulgaria;1;15/12/2004
Portero;Mateusz Pruchniewski;Polonia;33;15/02/2007
Defensa central;Alex Douglas;Suecia;3;17/08/2001
Defensa central;Wojciech Mońka;Polonia;27;18/01/2007
Defensa central;Mateusz Skrzypczak;Polonia;72;22/08/2000
Defensa central;Antonio Milic;Croacia;16;10/03/1994
Defensa central;Hubert Janyszka;Polonia;90;18/03/2009
Lateral izquierdo;Michał Gurgul;Polonia;15;30/01/2006
Lateral izquierdo;João Moutinho;Portugal;4;12/01/1998
Lateral derecho;Joel Pereira;Portugal;2;28/09/1996
Lateral derecho;Robert Gumny;Polonia;20;04/06/1998
Pivote;Antoni Kozubal;Polonia;43;18/08/2004
Pivote;Timothy Ouma;Kenia;6;10/06/2004
Pivote;Gísli Thórdarson;Islandia;23;12/09/2004
Pivote;Radoslaw Murawski;Polonia;22;22/04/1994
Pivote;Sammy Dudek;Polonia;53;18/04/2008
Mediocentro ofensivo;Patrik Wålemark;Suecia;10;14/10/2001
Mediocentro ofensivo;Pablo Rodríguez;España;99;04/08/2001
Mediocentro ofensivo;Filip Jagiello;Polonia;24;08/08/1997
Extremo izquierdo;Luis Palma;Honduras;77;17/01/2000
Extremo izquierdo;Daniel Håkans;Finlandia;11;26/10/2000
Extremo izquierdo;Leo Bengtsson;Suecia;14;26/05/1998
Extremo izquierdo;Kornel Lisman ;Polonia;56;20/02/2006
Extremo derecho;Ali Gholizadeh;Irán;8;10/03/1996
Extremo derecho;Taofeek Ismaheel;Nigeria;88;16/07/2000
Delantero centro;Yannick Agnero;Costa de Marfil;7;20/02/2003
Delantero centro;Mikael Ishak ;Suecia;9;31/03/1993
Delantero centro;Kamil Jakóbczyk ;Polonia;54;23/10/2007
Delantero centro;Wojciech Szymczak;Polonia;17;05/01/2008
