pos;name;pais;num;edad
Portero;Kacper Tobiasz;Polonia;1;04/11/2002
Portero;Otto Hindrich;Rumania;89;05/08/2002
Portero;Gabriel Kobylak;Polonia;27;20/02/2002
Defensa central;Kamil Piątkowski;Polonia;91;21/06/2000
Defensa central;Radovan Pankov;Serbia;12;05/08/1995
Defensa central;Jan Leszczyński;Polonia;56;12/04/2007
Defensa central;Artur Jędrzejczyk;Polonia;55;04/11/1987
Pivote;Damian Szymański;Polonia;44;16/06/1995
Pivote;Henrique Arreiol;Portugal;6;21/06/2005
Pivote;Claude Gonçalves;Portugal;5;09/04/1994
Pivote;Rafał Augustyniak;Polonia;8;14/10/1993
Pivote;Pascal Mozie;Polonia;51;06/05/2008
Interior derecho;Ermal Krasniqi;Kosovo;77;07/09/1998
Interior derecho;Petar Stojanović;Eslovenia;30;07/10/1995
Interior derecho;Kacper Chodyna;Polonia;11;24/05/1999
Interior derecho;Pawel Wszolek;Polonia;7;30/04/1992
Interior izquierdo;Rúben Vinagre ;Portugal;19;09/04/1999
Interior izquierdo;Arkadiusz Reca;Polonia;13;17/06/1995
Interior izquierdo;Patryk Kun;Polonia;23;20/04/1995
Mediocentro ofensivo;Kacper Urbański;Polonia;82;07/09/2004
Mediocentro ofensivo;Juergen Elitim;Colombia;22;13/07/1999
Mediocentro ofensivo;Bartosz Kapustka ;Polonia;67;23/12/1996
Mediocentro ofensivo;Wojciech Urbański;Polonia;53;12/01/2005
Mediocentro ofensivo;Vahan Bichakhchyan;Armenia;21;09/07/1999
Mediocentro ofensivo;Jakub Żewłakow;Polonia;20;02/12/2006
Mediocentro ofensivo;Samuel Kovacik;Eslovaquia;99;28/05/2007
Delantero centro;Mileta Rajović;Dinamarca;29;17/07/1999
Delantero centro;Antonio Colak;Croacia;14;17/09/1993
Delantero centro;Jean-Pierre Nsame;Camerún;18;01/05/1993
Delantero centro;Rafał Adamski;Polonia;9;21/11/2001
