pos;name;pais;num;edad
Portero;Hendrik Bonmann;Alemania;39;22/01/1994
Portero;Sergio Padt;Países Bajos;1;06/06/1990
Portero;Damyan Hristov;Bulgaria;67;10/11/2002
Defensa central;Edvin Kurtulus;Suecia;15;05/03/2000
Defensa central;Olivier Verdon;Benín;24;05/10/1995
Defensa central;Dinis Almeida;Portugal;4;28/06/1995
Defensa central;Idan Nachmias;Israel;55;17/03/1997
Defensa central;Simeon Shishkov;Bulgaria;42;18/05/2006
Defensa central;Georgi Terziev;Bulgaria;5;18/04/1992
Lateral izquierdo;Anton Nedyalkov ;Bulgaria;3;30/04/1993
Lateral izquierdo;Vinícius Nogueira;Brasil;27;11/12/2001
Lateral derecho;Son;España;17;30/03/1994
Lateral derecho;Joel Andersson;Suecia;2;11/11/1996
Pivote;Pedro Naressi;Brasil;30;10/01/1998
Pivote;Ivan Yordanov;Bulgaria;82;07/11/2000
Mediocentro;Ivaylo Chochev;Bulgaria;18;18/02/1993
Mediocentro;Filip Kaloc;República Checa;26;27/02/2000
Mediocentro;Deroy Duarte;Cabo Verde;23;04/07/1999
Mediocentro ofensivo;Petar Stanic;Serbia;14;14/08/2001
Mediocentro ofensivo;Aguibou Camara;Guinea;20;20/05/2001
Extremo izquierdo;Caio Vidal ;Brasil;11;04/11/2000
Extremo derecho;Bernard Tekpetey;Ghana;37;03/09/1997
Extremo derecho;Erick Marcus;Brasil;77;01/03/2004
Extremo derecho;Stanislav Ivanov;Bulgaria;99;16/04/1999
Delantero centro;Rwan Cruz;Brasil;12;20/05/2001
Delantero centro;Kwadwo Duah;Suiza;9;24/02/1997
Delantero centro;Yves Erick Bile;Costa de Marfil;29;24/12/2004
Delantero centro;Alberto Salido;España;7;19/01/2000
Delantero centro;Matheus Machado;Brasil;10;13/03/2003
