pos;name;pais;num;edad
Portero;Georgiy Yermakov;Ucrania;89;28/03/2002
Portero;Sharif Kaiuf;Israel;40;25/06/2001
Portero;Roee Fucs;Israel;77;14/12/1998
Defensa central;Pedrão ;Brasil;44;03/05/1997
Defensa central;Shon Goldberg;Israel;3;13/06/1995
Defensa central;Lisav Naif Eissat;Rumania;24;13/01/2005
Defensa central;Abdoulaye Seck;Senegal;30;04/06/1992
Defensa central;Elad Amir ;Israel;37;24/01/2006
Lateral izquierdo;Pierre Cornud ;Francia;27;12/12/1996
Lateral izquierdo;Yinon Faingezicht;Israel;29;01/05/2007
Lateral izquierdo;Tommy Tsitsuashvili;Israel;-;01/01/2006
Lateral derecho;Jelle Bataille;Bélgica;25;20/05/1999
Lateral derecho;Zohar Zasano;Israel;2;21/11/2001
Pivote;Ali Mohamed ;Níger;4;07/10/1995
Pivote;Peter Agba;Nigeria;80;20/12/2002
Pivote;Navot Ratner;Israel;36;06/06/2007
Mediocentro;Cédric Don;Costa de Marfil;45;03/05/2004
Mediocentro;Ethane Azoulay ;Israel;19;26/05/2002
Mediocentro;Lior Kassa ;Israel;15;27/09/2005
Interior izquierdo;Kenny Saief;Estados Unidos;16;17/12/1993
Mediocentro ofensivo;Michael Ohana;Israel;26;04/10/1995
Extremo izquierdo;Dolev Haziza ;Israel;8;05/07/1995
Extremo izquierdo;Suf Podgoreanu;Israel;17;20/01/2002
Extremo izquierdo;Kenji Gorré;Curazao;11;29/09/1994
Extremo derecho;Manuel Benson;Angola;14;28/03/1997
Extremo derecho;Silva Kani;Israel;7;15/05/2003
Delantero centro;Trivante Stewart ;Jamaica;9;22/03/2000
Delantero centro;Djordje Jovanovic;Serbia;99;15/02/1999
Delantero centro;Guy Melamed;Israel;18;21/12/1992
Delantero centro;Niv Gabay;Israel;39;15/07/2007
