pos;name;pais;num;edad
Portero;Ofek Melika;Israel;22;23/01/2005
Portero;Roi Mishpati;Israel;90;23/11/1992
Portero;Roie Amedi;Israel;50;25/03/2004
Portero;Shalev Saadia;Israel;51;23/02/2006
Defensa central;Tyrese Asante;Países Bajos;6;09/04/2002
Defensa central;Mohamed Camara;Guinea;5;28/08/1997
Defensa central;Raz Shlomo;Israel;13;13/08/1999
Defensa central;Heitor;Brasil;4;27/04/2000
Defensa central;Itay Ben Hamo;Israel;41;06/02/2002
Lateral izquierdo;Roy Revivo;Israel;3;22/05/2003
Lateral izquierdo;Denny Gropper ;Israel;14;16/03/1999
Lateral derecho;Noam Ben Harush;Israel;21;13/05/2005
Pivote;Kristijan Belic;Serbia;17;25/03/2001
Pivote;Issouf Sissokho;Malí;28;30/01/2002
Pivote;Ben Lederman;Polonia;23;08/05/2000
Mediocentro;Dor Peretz ;Israel;42;17/05/1995
Mediocentro;Ido Shahar;Israel;36;20/08/2001
Mediocentro;Itamar Noy;Israel;30;28/04/2001
Mediocentro ofensivo;Kervin Andrade;Venezuela;10;13/04/2005
Extremo izquierdo;Hélio Varela;Cabo Verde;29;03/05/2002
Extremo derecho;Osher Davida;Israel;77;18/02/2001
Extremo derecho;Emir Sahiti;Kosovo;70;29/11/1998
Extremo derecho;Sagiv Jehezkel;Israel;11;21/03/1995
Delantero centro;Sayed Abu Farkhi;Israel;34;11/05/2006
Delantero centro;Ion Nicolaescu ;Moldavia;98;07/09/1998
Delantero centro;Elad Madmon;Israel;19;10/02/2004
Delantero centro;Ilay Ben Simon;Israel;60;30/03/2009
Delantero centro;Yonas Malede;Israel;15;14/11/1999
