pos;name;pais;num;edad
Portero;Robin Olsen;Suecia;30;08/01/1990
Portero;Ricardo Friedrich;Brasil;-;18/02/1993
Portero;Johan Dahlin ;Suecia;27;08/09/1986
Portero;William Nieroth Lundgren;Suecia;-;13/03/2006
Defensa central;Colin Rösler;Noruega;19;22/04/2000
Defensa central;Bleon Kurtulus;Suecia;4;24/06/2007
Defensa central;Pontus Jansson;Suecia;18;13/02/1991
Defensa central;Andrej Djuric;Montenegro;5;21/09/2003
Defensa central;Malte Frejd Pålsson;Suecia;44;20/02/2006
Lateral izquierdo;Busanello;Brasil;25;29/10/1998
Lateral derecho;Johan Karlsson;Suecia;2;20/06/2001
Lateral derecho;Jens Stryger;Dinamarca;17;21/02/1991
Pivote;Yanis Karabelyov;Bulgaria;6;23/01/1996
Mediocentro;Otto Rosengren;Suecia;7;16/05/2003
Mediocentro;Jovan Milosavljevic;Serbia;-;08/02/2007
Mediocentro;Adrian Skogmar;Suecia;37;23/11/2005
Mediocentro;Kenan Busuladzic;Suecia;40;06/02/2007
Mediocentro;Anders Christiansen ;Dinamarca;10;08/06/1990
Mediocentro;Viggo Jeppsson;Suecia;-;24/03/2006
Interior izquierdo;Gentian Lajqi;Suecia;43;08/01/2007
Mediocentro ofensivo;Anton Höög;Suecia;-;19/03/2007
Mediocentro ofensivo;Antonio Palac;Croacia;46;14/01/2007
Extremo izquierdo;Sead Haksabanovic;Montenegro;29;04/05/1999
Extremo izquierdo;Arnór Sigurdsson;Islandia;8;15/05/1999
Extremo izquierdo;Stefano Vecchia;Suecia;21;23/01/1995
Extremo izquierdo;Taha Ali;Suecia;22;01/07/1998
Extremo izquierdo;Emmanuel Ekong;Suecia;11;25/06/2002
Delantero centro;Erik Botheim;Noruega;20;10/01/2000
Delantero centro;Daníel Gudjohnsen;Islandia;32;01/03/2006
Delantero centro;Alexandru Ghiţă;Suecia;-;02/02/2006
