pos;name;pais1;pais2;num;edad;team_name
Portero;Nick Shinton;Bélgica;;33;10/05/2001;beerschot_va
Portero;William Popp;Japón;;13;21/10/1994;beerschot_va
Portero;Xavier Gies;Bélgica;;1;27/12/1996;beerschot_va
Defensa central;Brian Plat;Países Bajos;Ghana;4;05/04/2000;beerschot_va
Defensa central;Bas Van den Eynden;Bélgica;;6;07/01/2002;beerschot_va
Defensa central;Andres Labie;Bélgica;;16;24/03/2004;beerschot_va
Defensa central;Derrick Tshimanga;Bélgica;RD del Congo;26;06/11/1988;beerschot_va
Defensa central;Milan Govaers;Bélgica;;3;23/03/2004;beerschot_va
Lateral izquierdo;Nilton;Portugal;Cabo Verde;75;25/05/2001;beerschot_va
Lateral izquierdo;Marco Weymans;Burundi;Bélgica;28;09/07/1997;beerschot_va
Lateral derecho;Colin Dagba;Francia;Benín;2;09/09/1998;beerschot_va
Lateral derecho;Edisson Jordanov;Bulgaria;Alemania;24;08/06/1993;beerschot_va
Lateral derecho;Dennis Gyamfi;Países Bajos;Ghana;76;30/12/2001;beerschot_va
Pivote;Axl Van Himbeeck;Bélgica;;17;08/03/2005;beerschot_va
Pivote;Ryan Sanusi;Bélgica;Nigeria;18;05/01/1992;beerschot_va
Centrocampista;Rayhan El Grafel;Bélgica;;44;31/07/2007;beerschot_va
Pivote;Xander Joosen;Bélgica;;43;10/06/2006;beerschot_va
Pivote;Keryane Mansouri;Argelia;Francia;46;03/07/2006;beerschot_va
Mediocentro;Lukas Van Eenoo;Bélgica;;8;06/02/1991;beerschot_va
Mediocentro;Cyril Khetir;Argelia;Francia;94;28/02/2001;beerschot_va
Interior izquierdo;Ken Masui;Japón;;71;04/04/2001;beerschot_va
Mediocentro ofensivo;Emre Uzun;Turquía;Alemania;11;20/06/2005;beerschot_va
Mediocentro ofensivo;Genki Haraguchi;Japón;;78;09/05/1991;beerschot_va
Mediocentro ofensivo;Glenn Claes;Bélgica;;10;08/03/1994;beerschot_va
Extremo izquierdo;Sabri Guendouz;Francia;Argelia;19;09/02/2000;beerschot_va
Extremo izquierdo;Rajiv van La Parra;Países Bajos;Surinam;7;04/06/1991;beerschot_va
Extremo derecho;Anas Haj Mohamed;Túnez;Marruecos;21;26/03/2005;beerschot_va
Extremo derecho;Oscar Vargas;España;;41;31/01/2006;beerschot_va
Extremo derecho;D'Margio Wright-Phillips;Granada;Inglaterra;32;24/09/2001;beerschot_va
Delantero centro;Arnold Vula;RD del Congo;;15;26/03/1999;beerschot_va
Delantero centro;Siviwe Magidigidi;Sudáfrica;;25;01/07/2005;beerschot_va
Delantero centro;Ensar Brahic;Serbia;Bosnia y Herzegovina;45;04/06/2004;beerschot_va
Portero;Marko Ilic;Serbia;;31;03/02/1998;kv_kortrijk
Portero;Patrik Gunnarsson;Islandia;;1;15/11/2000;kv_kortrijk
Portero;Ebbe De Vlaeminck;Bélgica;;13;04/11/2005;kv_kortrijk
Defensa central;James Ndjeungoue;Camerún;;5;04/04/2003;kv_kortrijk
Defensa central;Gilles Ruyssen;Bélgica;;22;18/06/1994;kv_kortrijk
Defensa central;Rudy Kohon;Francia;Costa de Marfil;36;23/05/2004;kv_kortrijk
Defensa central;Fuhna Wirsiy Nsolo;Bélgica;;49;26/04/2005;kv_kortrijk
