pos;name;pais;num;edad
Portero;Albert Posiadala;Polonia;-;25/02/2003
Portero;Mads Kikkenborg;Dinamarca;1;07/10/1999
Portero;Oliver Petersen;Noruega;-;26/09/2001
Portero;Peder Hoel Lervik;Noruega;12;24/04/2005
Defensa central;Birk Risa;Noruega;33;13/02/1998
Defensa central;Casper Øyvann;Noruega;3;07/12/1999
Defensa central;Sivert Sira Hansen;Noruega;4;30/05/2002
Defensa central;Fredrik Kristensen Dahl ;Noruega;-;30/01/1999
Defensa central;Isak Helstad Amundsen;Noruega;6;14/10/1999
Defensa central;Eirik Haugan;Noruega;19;27/08/1997
Lateral izquierdo;Samukele Kabini;Sudáfrica;26;15/03/2004
Lateral derecho;Martin Linnes;Noruega;21;20/09/1991
Pivote;Jacob Christensen;Dinamarca;14;25/06/2001
Pivote;Vebjørn Hoff;Noruega;15;13/02/1996
Mediocentro;Emil Breivik ;Noruega;16;11/06/2000
Mediocentro;Sondre Granaas;Noruega;23;30/08/2006
Mediocentro;Mats Møller Dæhli ;Noruega;17;02/03/1995
Mediocentro;Daniel Daga;Nigeria;27;10/01/2007
Mediocentro;Viktor Bender;Dinamarca;28;12/07/2007
Mediocentro;Mathias Silseth Mork;Noruega;46;27/07/2007
Interior derecho;Halldor Stenevik;Noruega;18;02/02/2000
Mediocentro ofensivo;Kristian Eriksen;Noruega;20;18/07/1995
Mediocentro ofensivo;Blerton Isufi;Kosovo;-;14/02/2006
Extremo izquierdo;Oskar Spiten-Nysæter ;Noruega;25;29/08/2007
Extremo izquierdo;Caleb Zady Sery;Costa de Marfil;11;20/12/1999
Extremo izquierdo;Trent Kone-Doherty;Irlanda;24;30/06/2006
Extremo derecho;Eirik Hestad;Noruega;5;26/06/1995
Delantero centro;Jalal Abdullai;Ghana;9;05/01/2005
Delantero centro;Fredrik Gulbrandsen;Noruega;8;10/09/1992
