pos;name;pais;num;edad
Portero;Konstantinos Tzolakis;Grecia;88;08/11/2002
Portero;Alexandros Paschalakis;Grecia;1;28/07/1989
Portero;Nikolaos Botis;Grecia;31;31/03/2004
Portero;Georgios Kouraklis;Grecia;61;18/03/2006
Defensa central;Lorenzo Pirola;Italia;5;20/02/2002
Defensa central;Panagiotis Retsos ;Grecia;45;09/08/1998
Defensa central;Giulian Biancone;Francia;4;31/03/2000
Defensa central;Alexios Kalogeropoulos;Grecia;6;26/07/2004
Defensa central;Rúben Vezo;Portugal;21;25/04/1994
Lateral izquierdo;Francisco Ortega;Argentina;3;19/03/1999
Lateral izquierdo;Bruno Onyemaechi;Nigeria;70;03/04/1999
Lateral derecho;Costinha;Portugal;20;26/03/2000
Lateral derecho;Rodinei;Brasil;23;29/01/1992
Pivote;Santiago Hezze;Argentina;32;22/10/2001
Pivote;Lorenzo Scipioni;Argentina;16;24/11/2004
Pivote;Theofanis Bakoulas  ;Grecia;-;04/01/2005
Pivote;Dani García;España;14;24/05/1990
Pivote;Argyrios Liatsikouras;Grecia;67;20/12/2006
Mediocentro;Christos Mouzakitis;Grecia;96;25/12/2006
Mediocentro;Diogo Nascimento;Portugal;8;02/11/2002
Mediocentro ofensivo;Chiquinho;Portugal;22;19/07/1995
Mediocentro ofensivo;Yusuf Yazıcı;Turquía;97;29/01/1997
Extremo izquierdo;Daniel Podence ;Portugal;56;21/10/1995
Extremo derecho;André Luiz;Brasil;17;23/02/2002
Extremo derecho;Gelson Martins;Portugal;10;11/05/1995
Delantero centro;Clayton;Brasil;19;11/01/1999
Delantero centro;Ayoub El Kaabi;Marruecos;9;25/06/1993
Delantero centro;Mehdi Taremi;Irán;99;18/07/1992
Delantero centro;Konstantinos Angelakis  ;Grecia;81;07/08/2007
