pos;name;pais;num;edad
Portero;Francis Uzoho;Nigeria;23;28/10/1998
Portero;Fabiano ;Chipre;40;29/02/1988
Portero;Charalampos Kyriakidis;Chipre;98;30/11/1998
Portero;Pantelis Michail;Chipre;78;27/10/2005
Defensa central;Nikolas Panagiotou;Chipre;30;12/05/2000
Defensa central;Senou Coulibaly;Malí;5;04/09/1994
Defensa central;Saad Agouzoul  ;Marruecos;17;10/08/1997
Defensa central;Stefan Simic;República Checa;27;20/01/1995
Defensa central;Christos Konstantinidis;Chipre;90;24/06/2008
Lateral izquierdo;Jure Balkovec;Eslovenia;29;09/09/1994
Lateral izquierdo;Fotis Kitsos ;Grecia;3;31/03/2003
Lateral izquierdo;Andreas Christou;Chipre;82;05/08/2005
Lateral derecho;Alpha Diounkou;Senegal;2;10/10/2001
Lateral derecho;Giannis Masouras ;Grecia;21;24/08/1996
Lateral derecho;Moses Odubajo ;Inglaterra;28;28/07/1993
Pivote;Mateo Maric;Bosnia y Herzegovina;14;18/03/1998
Pivote;Ioannis Kousoulos ;Chipre;31;14/06/1996
Mediocentro;Carel Eiting ;Países Bajos;6;11/02/1998
Mediocentro;Novica Erakovic;Montenegro;44;12/11/1999
Mediocentro;Panagiotis Andreou;Chipre;74;29/04/2006
Mediocentro ofensivo;Ewandro Costa;Brasil;11;15/03/1996
Mediocentro ofensivo;Mateusz Musialowski;Polonia;33;16/10/2003
Extremo izquierdo;Willy Semedo ;Cabo Verde;7;27/04/1994
Extremo izquierdo;Anastasios Chatzigiovanis;Grecia;10;31/05/1997
Extremo izquierdo;Vladimiros Savva;Chipre;87;21/05/2008
Extremo izquierdo;Konstantinos Panagi;Chipre;91;23/04/2007
Extremo derecho;Muamer Tankovic;Suecia;22;22/02/1995
Extremo derecho;Mihlali Mayambela  ;Sudáfrica;18;25/08/1996
Extremo derecho;Evangelos Andreou;Chipre;20;24/09/2002
Extremo derecho;Chrysis Evangelou;Chipre;88;03/11/2007
Mediapunta;Stevan Jovetić;Montenegro;8;02/11/1989
Delantero centro;Ryan Mmaee;Marruecos;19;01/11/1997
Delantero centro;Angelos Neofytou;Chipre;85;23/05/2005
