pos;name;pais1;pais2;num;edad;team_name
Portero;Peter Vindahl;Dinamarca;;1;16/02/1998;ac_sparta_praga
Portero;Jakub Surovcik;Eslovaquia;;44;28/06/2002;ac_sparta_praga
Portero;Daniel Kerl;República Checa;;61;14/01/2001;ac_sparta_praga
Defensa central;Emmanuel Uchenna;Nigeria;;16;04/12/2003;ac_sparta_praga
Defensa central;Adam Sevinsky;República Checa;;19;19/06/2004;ac_sparta_praga
Defensa central;Asger Sörensen;Dinamarca;;25;05/06/1996;ac_sparta_praga
Defensa central;Filip Panák;República Checa;;27;02/11/1995;ac_sparta_praga
Defensa central;Jakub Martinec;República Checa;;4;13/03/1998;ac_sparta_praga
Defensa central;Jaroslav Zelený;República Checa;;30;20/08/1992;ac_sparta_praga
Defensa central;Elias Cobbaut;Bélgica;;33;24/11/1997;ac_sparta_praga
Defensa central;Ivan Mensah;Ghana;;50;22/04/2004;ac_sparta_praga
Lateral izquierdo;Jhoanner Chávez;Ecuador;;14;25/04/2002;ac_sparta_praga
Lateral derecho;Oliver Sonne;Perú;Dinamarca;17;10/11/2000;ac_sparta_praga
Pivote;Patrik Vydra;República Checa;;26;20/06/2003;ac_sparta_praga
Pivote;Sivert Mannsverk;Noruega;;20;08/05/2002;ac_sparta_praga
Mediocentro;Kaan Kairinen;Finlandia;Turquía;6;22/12/1998;ac_sparta_praga
Mediocentro;Andrew Irving;Escocia;;18;13/05/2000;ac_sparta_praga
Mediocentro;Magnus Kofod Andersen;Dinamarca;;8;10/05/1999;ac_sparta_praga
Mediocentro;Hugo Sochurek;República Checa;;38;07/06/2008;ac_sparta_praga
Interior derecho;Pavel Kaderabek;República Checa;;3;25/04/1992;ac_sparta_praga
Interior izquierdo;Matej Rynes;República Checa;;11;30/05/2001;ac_sparta_praga
Mediocentro ofensivo;Santiago Eneme;Guinea Ecuatorial;;5;29/09/2000;ac_sparta_praga
Extremo izquierdo;Lukas Haraslin;Eslovaquia;;22;26/05/1996;ac_sparta_praga
Extremo izquierdo;John Mercado;Ecuador;;7;03/06/2002;ac_sparta_praga
Extremo izquierdo;Garang Kuol;Australia;Sudán del Sur;36;15/09/2004;ac_sparta_praga
Extremo izquierdo;Joao Grimaldo;Perú;;21;20/02/2003;ac_sparta_praga
Extremo izquierdo;Ondrej Penxa;República Checa;;52;23/03/2007;ac_sparta_praga
Delantero centro;Albion Rrahmani;Kosovo;;9;31/08/2000;ac_sparta_praga
Delantero centro;Matyas Vojta;República Checa;;29;26/02/2004;ac_sparta_praga
Delantero centro;Jan Kuchta;República Checa;;10;08/01/1997;ac_sparta_praga
Portero;Tomas Koubek;República Checa;;40;26/08/1992;slovan_liberec
Portero;Ivan Krajcirik;Eslovaquia;;1;15/06/2000;slovan_liberec
Portero;Dominik Kudelcik;Eslovaquia;;-;16/11/2004;slovan_liberec
Portero;Lukas Pesl;República Checa;;33;12/04/2002;slovan_liberec
Defensa central;Ange N'Guessan;Francia;Costa de Marfil;16;01/09/2003;slovan_liberec
Defensa central;Simon Gabriel;República Checa;;32;28/05/2001;slovan_liberec
Defensa central;Augustin Drakpe;Togo;Países Bajos;14;08/12/2001;slovan_liberec
Defensa central;Haris Berbic;Bosnia y Herzegovina;;23;12/04/2006;slovan_liberec
Defensa central;Jan Knapik;República Checa;;22;11/12/2000;slovan_liberec
Defensa central;Jan Mikula;República Checa;;3;05/01/1992;slovan_liberec
Defensa central;Martin Ryzek;Eslovaquia;;4;23/05/2005;slovan_liberec
Lateral izquierdo;Aziz Kayondo;Uganda;;27;06/10/2002;slovan_liberec
Lateral derecho;Petr Hodous;República Checa;;5;19/12/2003;slovan_liberec
Lateral derecho;Josef Kozeluh;República Checa;;18;15/02/2002;slovan_liberec
Pivote;Marek Icha;República Checa;;8;14/03/2002;slovan_liberec
Mediocentro;Toumani Diakite;Costa de Marfil;;30;19/01/2006;slovan_liberec
Mediocentro;Vojtech Stransky;República Checa;;12;13/03/2003;slovan_liberec
Mediocentro;Qëndrim Zyba;Kosovo;;10;03/02/2001;slovan_liberec
Interior derecho;Patrik Dulay;Eslovaquia;;24;03/03/2005;slovan_liberec
Interior derecho;Lukas Masopust;República Checa;;26;12/02/1993;slovan_liberec
Interior izquierdo;Vojtech Sychra;República Checa;;28;30/11/2001;slovan_liberec
Mediocentro ofensivo;Ermin Mahmic;Austria;Bosnia y Herzegovina;20;14/03/2005;slovan_liberec
Mediocentro ofensivo;Milan Lexa;República Checa;;15;21/08/2004;slovan_liberec
Extremo izquierdo;Afolabi Soliu;Nigeria;;7;08/08/2005;slovan_liberec
Extremo derecho;Petr Julis;República Checa;;17;17/04/2003;slovan_liberec
Delantero centro;Lukas Masek;República Checa;;9;08/05/2004;slovan_liberec
Delantero centro;Raimonds Krollis;Letonia;;99;28/10/2001;slovan_liberec
Delantero centro;Daniel Rus;República Checa;;29;02/02/2006;slovan_liberec
Delantero centro;Filip Spatenka;República Checa;;11;22/02/2004;slovan_liberec
Delantero centro;Lukas Letenay;Eslovaquia;;21;19/04/2001;slovan_liberec
Portero;Florian Wiegele;Austria;;44;21/03/2001;viktoria_plzen
Portero;Viktor Baier;República Checa;;-;16/01/2005;viktoria_plzen
Portero;Dominik Tapaj;Eslovaquia;;1;10/05/2004;viktoria_plzen
Portero;Marian Tvrdon;Eslovaquia;;13;18/08/1994;viktoria_plzen
Portero;Matyas Silhavy;República Checa;;15;06/03/2007;viktoria_plzen
Defensa central;Sampson Dweh;Liberia;;40;10/10/2001;viktoria_plzen
Defensa central;Karel Spacil;República Checa;;5;18/05/2003;viktoria_plzen
Defensa central;Jan Paluska;República Checa;;22;23/06/2005;viktoria_plzen
Defensa central;Vaclav Jemelka;República Checa;;21;23/06/1995;viktoria_plzen
Defensa central;David Krcik;Eslovaquia;;37;28/06/1999;viktoria_plzen
Defensa central;Vaclav Mika;República Checa;;-;01/06/2000;viktoria_plzen
Lateral izquierdo;Merchas Doski;Irak;Alemania;14;07/12/1999;viktoria_plzen
Lateral derecho;Adam Kadlec;República Checa;;16;06/07/2003;viktoria_plzen
Mediocentro;Lukas Cerv;República Checa;;6;10/04/2001;viktoria_plzen
Mediocentro;Jiri Panos;República Checa;;20;15/11/2007;viktoria_plzen
Mediocentro;Patrik Hrosovsky;Eslovaquia;;17;22/04/1992;viktoria_plzen
Mediocentro;Matej Valenta;República Checa;;32;09/02/2000;viktoria_plzen
Mediocentro;Alexandr Sojka;República Checa;;12;02/04/2003;viktoria_plzen
Interior derecho;Amar Memić;Bosnia y Herzegovina;;99;20/01/2001;viktoria_plzen
Interior izquierdo;Cheick Souaré;Francia;Guinea;19;03/09/2002;viktoria_plzen
Mediocentro ofensivo;Tom Sloncik;República Checa;;29;21/12/2004;viktoria_plzen
Mediocentro ofensivo;Denis Visinsky;República Checa;;9;21/03/2003;viktoria_plzen
Mediocentro ofensivo;Tomas Ladra;República Checa;;18;24/04/1997;viktoria_plzen
Delantero centro;Prince Adu;Ghana;;80;23/09/2003;viktoria_plzen
Delantero centro;Salim Fago Lawal;Nigeria;;70;15/01/2003;viktoria_plzen
Delantero centro;Daniel Vasulin;República Checa;;51;11/06/1998;viktoria_plzen
Delantero centro;Mohamed Touré;Guinea;;10;03/11/2005;viktoria_plzen
Delantero centro;Matej Vydra;República Checa;;11;01/05/1992;viktoria_plzen
Portero;Jakub Markovic;República Checa;;35;13/07/2001;sk_slavia_praga
Portero;Jindrich Stanek;República Checa;;36;27/04/1996;sk_slavia_praga
Portero;Ondrej Kolar;República Checa;;1;17/10/1994;sk_slavia_praga
Defensa central;Stepan Chaloupek;República Checa;;2;08/03/2003;sk_slavia_praga
Defensa central;David Zima;República Checa;;4;08/11/2000;sk_slavia_praga
Defensa central;Igoh Ogbu;Nigeria;;5;08/02/2000;sk_slavia_praga
Defensa central;Tomas Vlcek;República Checa;;27;28/02/2001;sk_slavia_praga
Defensa central;Tomas Holes;República Checa;;3;31/03/1993;sk_slavia_praga
Defensa central;Jan Boril;República Checa;;18;11/01/1991;sk_slavia_praga
Lateral izquierdo;David Jurásek;República Checa;;39;07/08/2000;sk_slavia_praga
Lateral izquierdo;Youssoupha Mbodji;Senegal;;12;09/01/2004;sk_slavia_praga
Lateral izquierdo;Dominik Javorcek;Eslovaquia;;37;02/11/2002;sk_slavia_praga
Lateral derecho;Samuel Isife;Nigeria;;14;13/07/2004;sk_slavia_praga
Mediocentro;David Moses;Nigeria;;16;20/01/2004;sk_slavia_praga
Mediocentro;Michal Sadílek;República Checa;;23;31/05/1999;sk_slavia_praga
Mediocentro;Oscar;Liberia;;19;19/07/1998;sk_slavia_praga
Mediocentro;Mubarak Suleiman;Nigeria;;45;13/04/2007;sk_slavia_praga
Mediocentro;Alexandr Buzek;República Checa;;20;02/08/2004;sk_slavia_praga
Mediocentro;Petr Sevcik;República Checa;;-;04/05/1994;sk_slavia_praga
Interior derecho;David Doudera;República Checa;;21;31/05/1998;sk_slavia_praga
Interior derecho;Simion Michez;Camerún;Bélgica;41;09/02/2002;sk_slavia_praga
Mediocentro ofensivo;Lukas Provod;República Checa;;17;23/10/1996;sk_slavia_praga
Mediocentro ofensivo;Muhammed Cham;Austria;;10;26/09/2000;sk_slavia_praga
Extremo izquierdo;Vasil Kusej;República Checa;;9;24/05/2000;sk_slavia_praga
Extremo izquierdo;Youssoupha Sanyang;Gambia;Senegal;11;31/08/2005;sk_slavia_praga
Extremo derecho;Ivan Schranz;Eslovaquia;;26;13/09/1993;sk_slavia_praga
Delantero centro;Mojmír Chytil;República Checa;;13;29/04/1999;sk_slavia_praga
Delantero centro;Tomas Chory;República Checa;;25;26/01/1995;sk_slavia_praga
Delantero centro;Erik Prekop;Eslovaquia;;33;08/10/1997;sk_slavia_praga
Portero;Nikita Haikin;Rusia;Inglaterra;12;11/07/1995;fk_bodo_glimt
Portero;Julian Faye Lund;Noruega;;1;20/05/1999;fk_bodo_glimt
Portero;Isak Sjong;Noruega;;45;08/01/2007;fk_bodo_glimt
Defensa central;Odin Bjørtuft;Noruega;;4;19/12/1998;fk_bodo_glimt
Defensa central;Villads Nielsen;Dinamarca;;2;29/01/2005;fk_bodo_glimt
Defensa central;Jostein Gundersen;Noruega;;6;02/04/1996;fk_bodo_glimt
Defensa central;Haitam Aleesami;Noruega;;5;31/07/1991;fk_bodo_glimt
Lateral izquierdo;Fredrik Bjørkan;Noruega;;15;21/08/1998;fk_bodo_glimt
Lateral derecho;Fredrik Sjøvold;Noruega;;20;17/08/2003;fk_bodo_glimt
Pivote;Patrick Berg;Noruega;;7;24/11/1997;fk_bodo_glimt
Mediocentro;Håkon Evjen;Noruega;;26;14/02/2000;fk_bodo_glimt
Mediocentro;Sondre Auklend;Noruega;;8;10/06/2003;fk_bodo_glimt
Mediocentro;Magnus Riisnæs;Noruega;;23;04/11/2004;fk_bodo_glimt
Mediocentro;Sondre Brunstad Fet;Noruega;;19;17/01/1997;fk_bodo_glimt
Mediocentro;Anders Klynge;Dinamarca;;22;14/10/2000;fk_bodo_glimt
Mediocentro;Ulrik Saltnes;Noruega;;14;10/11/1992;fk_bodo_glimt
Extremo izquierdo;Jens Petter Hauge;Noruega;;10;12/10/1999;fk_bodo_glimt
Extremo izquierdo;Daniel Bassi;Noruega;Inglaterra;24;31/10/2004;fk_bodo_glimt
Extremo derecho;Ole Didrik Blomberg;Noruega;;11;12/06/2000;fk_bodo_glimt
Extremo derecho;Isak Dybvik Määttä;Noruega;;25;19/09/2001;fk_bodo_glimt
Mediapunta;August Mikkelsen;Noruega;;94;24/10/2000;fk_bodo_glimt
Delantero centro;Kasper Høgh;Dinamarca;;9;06/12/2000;fk_bodo_glimt
Delantero centro;Ola Brynhildsen;Noruega;;17;27/04/1999;fk_bodo_glimt
Delantero centro;Andreas Helmersen;Noruega;;21;15/03/1998;fk_bodo_glimt
Delantero centro;Mikkel Bro Hansen;Dinamarca;;77;25/01/2009;fk_bodo_glimt
Portero;Albert Posiadala;Polonia;;22;25/02/2003;molde_fk
Portero;Mads Kikkenborg;Dinamarca;;1;07/10/1999;molde_fk
Portero;Oliver Petersen;Noruega;;-;26/09/2001;molde_fk
Portero;Peder Hoel Lervik;Noruega;;12;24/04/2005;molde_fk
Defensa central;Birk Risa;Noruega;;33;13/02/1998;molde_fk
Defensa central;Sivert Sira Hansen;Noruega;;4;30/05/2002;molde_fk
Defensa central;Casper Øyvann;Noruega;;3;07/12/1999;molde_fk
Defensa central;Fredrik Kristensen Dahl;Noruega;;-;30/01/1999;molde_fk
Defensa central;Isak Helstad Amundsen;Noruega;;6;14/10/1999;molde_fk
Defensa central;Eirik Haugan;Noruega;;19;27/08/1997;molde_fk
Lateral izquierdo;Samukele Kabini;Sudáfrica;;26;15/03/2004;molde_fk
Lateral derecho;Martin Linnes;Noruega;;21;20/09/1991;molde_fk
Pivote;Jacob Christensen;Dinamarca;;14;25/06/2001;molde_fk
Pivote;Vebjørn Hoff;Noruega;;15;13/02/1996;molde_fk
Mediocentro;Emil Breivik;Noruega;;10;11/06/2000;molde_fk
Mediocentro;Sondre Granaas;Noruega;;23;30/08/2006;molde_fk
Mediocentro;Mats Møller Dæhli;Noruega;;17;02/03/1995;molde_fk
Mediocentro;Daniel Daga;Nigeria;;27;10/01/2007;molde_fk
Mediocentro;Viktor Bender;Dinamarca;;28;12/07/2007;molde_fk
Interior derecho;Halldor Stenevik;Noruega;;18;02/02/2000;molde_fk
Mediocentro ofensivo;Blerton Isufi;Kosovo;Noruega;31;14/02/2006;molde_fk
Extremo izquierdo;Oskar Spiten-Nysæter;Noruega;;25;29/08/2007;molde_fk
Extremo izquierdo;Caleb Zady Sery;Costa de Marfil;;11;20/12/1999;molde_fk
Extremo izquierdo;Trent Kone-Doherty;Irlanda;Irlanda del Norte;24;30/06/2006;molde_fk
Extremo derecho;Eirik Hestad;Noruega;;5;26/06/1995;molde_fk
Delantero centro;Jalal Abdullai;Ghana;;9;05/01/2005;molde_fk
Delantero centro;Fredrik Gulbrandsen;Noruega;;8;10/09/1992;molde_fk
Portero;Jiri Pavlenka;República Checa;;1;14/04/1992;paok_de_salonica
Portero;Antonis Tsiftsis;Grecia;;99;21/07/1999;paok_de_salonica
Portero;Dimitrios Monastirlis;Grecia;;41;22/03/2004;paok_de_salonica
Defensa central;Giannis Michailidis;Grecia;;5;18/02/2000;paok_de_salonica
Defensa central;Alessandro Vogliacco;Italia;;4;14/09/1998;paok_de_salonica
Defensa central;Tomasz Kedziora;Polonia;;16;11/06/1994;paok_de_salonica
Defensa central;Dejan Lovren;Croacia;;6;05/07/1989;paok_de_salonica
Defensa central;Dimitrios Bataoulas;Grecia;;97;14/03/2007;paok_de_salonica
Lateral izquierdo;Greg Taylor;Escocia;;32;05/11/1997;paok_de_salonica
Lateral izquierdo;Abdul Rahman Baba;Ghana;;21;02/07/1994;paok_de_salonica
Lateral derecho;Jonjoe Kenny;Inglaterra;Irlanda;3;15/03/1997;paok_de_salonica
Lateral derecho;Jorge Sánchez;México;;35;10/12/1997;paok_de_salonica
Lateral derecho;Joan Sastre;España;;23;30/04/1997;paok_de_salonica
Pivote;Soualiho Meïté;Francia;Costa de Marfil;8;17/03/1994;paok_de_salonica
Pivote;Magomed Ozdoev;Rusia;;27;05/11/1992;paok_de_salonica
Pivote;Konstantinos Thymianis;Grecia;;25;28/02/2001;paok_de_salonica
Mediocentro;Christos Zafeiris;Grecia;Noruega;20;23/02/2003;paok_de_salonica
Mediocentro;Mady Camara;Guinea;;2;28/02/1997;paok_de_salonica
Mediocentro;Alessandro Bianco;Italia;;22;01/10/2002;paok_de_salonica
Mediocentro;Dimitrios Tsopouroglou;Grecia;;33;21/06/2002;paok_de_salonica
