pos;name;pais;num;edad
Portero;Jesse Joronen;Finlandia;66;21/03/1993
Portero;Alfred Gomis;Senegal;1;05/09/1993
Portero;Francesco Di Bartolo;Italia;77;18/03/2005
Defensa central;Mattia Bani ;Italia;13;10/12/1993
Defensa central;Pietro Ceccaroni;Italia;32;21/12/1995
Defensa central;Giangiacomo Magnani;Italia;96;04/10/1995
Defensa central;Patryk Peda;Polonia;29;16/04/2002
Defensa central;Davide Veroli;Italia;72;29/01/2003
Lateral izquierdo;Tommaso Augello;Italia;3;30/08/1994
Lateral derecho;Niccolò Pierozzi;Italia;27;12/09/2001
Lateral derecho;Rui Modesto;Angola;18;07/10/1999
Lateral derecho;Bartosz Bereszyński;Polonia;19;12/07/1992
Pivote;Claudio Gomes;Francia;6;23/07/2000
Pivote;Alexis Blin;Francia;28;16/09/1996
Mediocentro;Filippo Ranocchia;Italia;10;14/05/2001
Mediocentro;Antonio Palumbo;Italia;5;06/08/1996
Mediocentro;Jacopo Segre;Italia;8;17/02/1997
Mediocentro;Samuel Giovane;Italia;17;28/03/2003
Mediocentro;Aljosa Vasic;Serbia;14;21/04/2002
Interior derecho;Emmanuel Gyasi;Ghana;11;11/01/1994
Extremo izquierdo;Dennis Johnsen;Noruega;7;17/02/1998
Delantero centro;Joel Pohjanpalo;Finlandia;20;13/09/1994
Delantero centro;Jérémy Le Douaron;Francia;21;21/04/1998
Delantero centro;Giacomo Corona;Italia;31;24/02/2004
