pos;name;pais;num;edad
Portero;Alban Lafont;Costa de Marfil;40;23/01/1999
Portero;Lucas Chaves;Argentina;12;09/08/1995
Portero;Konstantinos Kotsaris;Grecia;70;25/07/1996
Defensa central;Ahmed Touba;Argelia;5;13/03/1998
Defensa central;Tin Jedvaj;Croacia;21;28/11/1995
Defensa central;Sverrir Ingi Ingason;Islandia;15;05/08/1993
Defensa central;Erik Palmer-Brown ;Estados Unidos;14;24/04/1997
Defensa central;Georgios Katris;Grecia;3;14/10/2005
Lateral izquierdo;Javi Hernández;España;26;02/05/1998
Lateral izquierdo;Georgios Kyriakopoulos;Grecia;77;05/02/1996
Lateral derecho;Davide Calabria;Italia;2;06/12/1996
Lateral derecho;Giannis Kotsiras ;Grecia;27;16/12/1992
Pivote;Pedro Chirivella ;España;4;23/05/1997
Pivote;Manolis Siopis ;Grecia;6;14/05/1994
Mediocentro;Adam Gnezda Cerin;Eslovenia;16;16/07/1999
Mediocentro;Renato Sanches;Portugal;8;18/08/1997
Mediocentro;Sotiris Kontouris;Grecia;18;24/02/2005
Mediocentro;Tonny Vilhena;Países Bajos;52;03/01/1995
Mediocentro;Moussa Sissoko;Francia;17;16/08/1989
Interior izquierdo;Santino Andino;Argentina;10;25/10/2005
Mediocentro ofensivo;Adriano Jagusic;Croacia;88;06/09/2005
Mediocentro ofensivo;Anastasios Bakasetas ;Grecia;11;28/06/1993
Mediocentro ofensivo;Vicente Taborda;Argentina;20;14/06/2001
Mediocentro ofensivo;Filip Djuricic;Serbia;31;30/01/1992
Extremo izquierdo;Anass Zaroury;Marruecos;9;07/11/2000
Extremo derecho;Facundo Pellistri;Uruguay;28;20/12/2001
Extremo derecho;Pavlos Pantelidis;Grecia;23;16/09/2002
Extremo derecho;Georgios Kyriopoulos  ;Grecia;22;24/08/2004
Extremo derecho;Giannis Bokos;Grecia;39;03/02/2007
Delantero centro;Karol Świderski;Polonia;19;23/01/1997
Delantero centro;Cyriel Dessers  ;Nigeria;33;08/12/1994
Delantero centro;Andreas Tetteh;Grecia;7;25/05/2001
Delantero centro;Milos Pantovic;Serbia;72;24/08/2002
